# ombh2 omch2 theta_MC_100 tau logA ns nnu mnu
6.773622404587311822e-10 4.207431354295288600e-09 -2.502816115388344143e-10 -1.717694511194267777e-09 1.328191692434022733e-08 1.369287034188154757e-09 2.820246695616606416e-07 1.463872554283790030e-08
4.207431354295288600e-09 1.639769054371895303e-07 -9.788537421641796636e-09 -1.353052904595482011e-06 -2.202751411322348907e-06 -2.019068797192541035e-07 2.531948724302189156e-06 -4.189548711510503436e-07
-2.502816115388344143e-10 -9.788537421641796636e-09 3.395850829494759932e-09 2.868209370331919135e-08 2.673476240192239210e-08 1.706467132959270774e-08 -2.087069887822943516e-07 -3.062593489626692050e-07
-1.717694511194267777e-09 -1.353052904595482011e-06 2.868209370331919135e-08 2.572848809924708412e-05 4.819239109068592058e-05 1.234630639808086876e-06 -5.460185281979779223e-06 9.060467936685168990e-05
1.328191692434022733e-08 -2.202751411322348907e-06 2.673476240192239210e-08 4.819239109068592058e-05 9.230265822890703362e-05 1.287785482876806832e-06 -1.423726839472463833e-06 1.840804390047735730e-04
1.369287034188154757e-09 -2.019068797192541035e-07 1.706467132959270774e-08 1.234630639808086876e-06 1.287785482876806832e-06 1.746103349352709255e-06 7.149972458232557113e-06 -7.049356912820116129e-06
2.820246695616606416e-07 2.531948724302189156e-06 -2.087069887822943516e-07 -5.460185281979779223e-06 -1.423726839472463833e-06 7.149972458232557113e-06 1.982245047132260923e-04 -1.001654279542138286e-05
1.463872554283790030e-08 -4.189548711510503436e-07 -3.062593489626692050e-07 9.060467936685168990e-05 1.840804390047735730e-04 -7.049356912820116129e-06 -1.001654279542138286e-05 6.077906205003092083e-04
