# ombh2 omch2 H0 tau logA ns nnu mnu
7.044220904387821309e-10 4.546098264324986160e-09 1.702932466013488644e-06 3.702665247223560137e-09 2.495209467512406122e-08 8.115084025973565631e-10 2.949404608801656406e-07 6.488200032096111076e-08
4.546098264324986160e-09 1.604182346669149142e-07 -3.529099916785332280e-05 -1.096002429373618177e-06 -1.699346071265075276e-06 -1.986059834304007236e-07 2.661364008950127376e-06 1.136274700823323594e-06
1.702932466013488644e-06 -3.529099916785332280e-05 7.730496556537265473e-02 -4.394423088351328806e-04 -9.415065019306230899e-04 1.195670118316262843e-04 8.462169799149019383e-04 -5.823101515172362033e-03
3.702665247223560137e-09 -1.096002429373618177e-06 -4.394423088351328806e-04 2.680190418250933120e-05 5.019054823222552552e-05 2.642448909562964528e-06 6.923801606541701918e-06 1.016165886231316928e-04
2.495209467512406122e-08 -1.699346071265075276e-06 -9.415065019306230899e-04 5.019054823222552552e-05 9.586892812810945356e-05 4.223871176034503848e-06 2.387359743152144291e-05 2.043660972999066178e-04
8.115084025973565631e-10 -1.986059834304007236e-07 1.195670118316262843e-04 2.642448909562964528e-06 4.223871176034503848e-06 1.562988557465282611e-06 6.451423458001595749e-06 3.286506703682985605e-06
2.949404608801656406e-07 2.661364008950127376e-06 8.462169799149019383e-04 6.923801606541701918e-06 2.387359743152144291e-05 6.451423458001595749e-06 2.028049426536435976e-04 8.046008285216528565e-05
6.488200032096111076e-08 1.136274700823323594e-06 -5.823101515172362033e-03 1.016165886231316928e-04 2.043660972999066178e-04 3.286506703682985605e-06 8.046008285216528565e-05 7.012602805336834054e-04
