#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    33   0.110342E+04   0.193583E+01   0.113053E-02   0.193583E+01   0.295737E-01  -0.321984E-06   0.113053E-02  -0.321984E-06   0.138755E-06
    34   0.112039E+04   0.194208E+01   0.110319E-02   0.194208E+01   0.327629E-01  -0.565644E-06   0.110319E-02  -0.565644E-06   0.138784E-06
    35   0.113800E+04   0.193274E+01   0.107666E-02   0.193274E+01   0.361665E-01  -0.754275E-06   0.107666E-02  -0.754275E-06   0.138760E-06
    36   0.115533E+04   0.191805E+01   0.105083E-02   0.191805E+01   0.398132E-01  -0.790034E-06   0.105083E-02  -0.790034E-06   0.138686E-06
    37   0.117293E+04   0.189219E+01   0.102608E-02   0.189219E+01   0.437285E-01  -0.689501E-06   0.102608E-02  -0.689501E-06   0.138567E-06
    38   0.119089E+04   0.185717E+01   0.100279E-02   0.185717E+01   0.479004E-01  -0.502269E-06   0.100279E-02  -0.502269E-06   0.138405E-06
    39   0.120912E+04   0.181277E+01   0.980742E-03   0.181277E+01   0.523185E-01  -0.295551E-06   0.980742E-03  -0.295551E-06   0.138202E-06
    40   0.122754E+04   0.175723E+01   0.959580E-03   0.175723E+01   0.569753E-01  -0.140963E-06   0.959580E-03  -0.140963E-06   0.137961E-06
    41   0.124606E+04   0.168931E+01   0.939008E-03   0.168931E+01   0.618675E-01  -0.919067E-07   0.939008E-03  -0.919067E-07   0.137683E-06
    42   0.126468E+04   0.161003E+01   0.918975E-03   0.161003E+01   0.670081E-01  -0.128924E-06   0.918975E-03  -0.128924E-06   0.137371E-06
    43   0.128342E+04   0.152051E+01   0.899490E-03   0.152051E+01   0.724139E-01  -0.214341E-06   0.899490E-03  -0.214341E-06   0.137028E-06
    44   0.130233E+04   0.142030E+01   0.880565E-03   0.142030E+01   0.780997E-01  -0.310485E-06   0.880565E-03  -0.310485E-06   0.136655E-06
    45   0.132147E+04   0.130865E+01   0.862211E-03   0.130865E+01   0.840773E-01  -0.379682E-06   0.862211E-03  -0.379682E-06   0.136256E-06
    46   0.134081E+04   0.118519E+01   0.844430E-03   0.118519E+01   0.903538E-01  -0.395222E-06   0.844430E-03  -0.395222E-06   0.135831E-06
    47   0.136032E+04   0.104938E+01   0.827204E-03   0.104938E+01   0.969297E-01  -0.374248E-06   0.827204E-03  -0.374248E-06   0.135385E-06
    48   0.137999E+04   0.900615E+00   0.810504E-03   0.900615E+00   0.103797E+00  -0.344866E-06   0.810504E-03  -0.344866E-06   0.134917E-06
    49   0.139981E+04   0.738349E+00   0.794305E-03   0.738349E+00   0.110945E+00  -0.335183E-06   0.794305E-03  -0.335183E-06   0.134429E-06
    50   0.141982E+04   0.562182E+00   0.778580E-03   0.562182E+00   0.118378E+00  -0.373304E-06   0.778580E-03  -0.373304E-06   0.133923E-06
    51   0.144009E+04   0.372024E+00   0.763309E-03   0.372024E+00   0.126099E+00  -0.476909E-06   0.763309E-03  -0.476909E-06   0.133401E-06
    52   0.146056E+04   0.168827E+00   0.748505E-03   0.168827E+00   0.134112E+00  -0.621967E-06   0.748505E-03  -0.621967E-06   0.132864E-06
    53   0.148116E+04  -0.464082E-01   0.734189E-03  -0.464082E-01   0.142418E+00  -0.774018E-06   0.734189E-03  -0.774018E-06   0.132313E-06
    54   0.150188E+04  -0.273539E+00   0.720379E-03  -0.273539E+00   0.151021E+00  -0.898604E-06   0.720379E-03  -0.898604E-06   0.131748E-06
    55   0.152270E+04  -0.512794E+00   0.707097E-03  -0.512794E+00   0.159924E+00  -0.961267E-06   0.707097E-03  -0.961267E-06   0.131171E-06
    56   0.154375E+04  -0.765042E+00   0.694350E-03  -0.765042E+00   0.169124E+00  -0.938114E-06   0.694350E-03  -0.938114E-06   0.130582E-06
    57   0.156511E+04  -0.103116E+01   0.682094E-03  -0.103116E+01   0.178618E+00  -0.847519E-06   0.682094E-03  -0.847519E-06   0.129983E-06
    58   0.158676E+04  -0.131136E+01   0.670272E-03  -0.131136E+01   0.188404E+00  -0.718422E-06   0.670272E-03  -0.718422E-06   0.129373E-06
    59   0.160859E+04  -0.160555E+01   0.658828E-03  -0.160555E+01   0.198483E+00  -0.579764E-06   0.658828E-03  -0.579764E-06   0.128754E-06
    60   0.163059E+04  -0.191324E+01   0.647705E-03  -0.191324E+01   0.208845E+00  -0.460484E-06   0.647705E-03  -0.460484E-06   0.128126E-06
    61   0.165278E+04  -0.223394E+01   0.636852E-03  -0.223394E+01   0.219485E+00  -0.384279E-06   0.636852E-03  -0.384279E-06   0.127489E-06
    62   0.167514E+04  -0.256767E+01   0.626240E-03  -0.256767E+01   0.230398E+00  -0.353879E-06   0.626240E-03  -0.353879E-06   0.126845E-06
    63   0.169771E+04  -0.291456E+01   0.615844E-03  -0.291456E+01   0.241583E+00  -0.366766E-06   0.615844E-03  -0.366766E-06   0.126194E-06
    64   0.172049E+04  -0.327475E+01   0.605640E-03  -0.327475E+01   0.253037E+00  -0.420426E-06   0.605640E-03  -0.420426E-06   0.125538E-06
    65   0.174349E+04  -0.364841E+01   0.595604E-03  -0.364841E+01   0.264759E+00  -0.512343E-06   0.595604E-03  -0.512343E-06   0.124878E-06
    66   0.176677E+04  -0.403578E+01   0.585722E-03  -0.403578E+01   0.276742E+00  -0.637214E-06   0.585722E-03  -0.637214E-06   0.124214E-06
    67   0.179030E+04  -0.443630E+01   0.576027E-03  -0.443630E+01   0.288980E+00  -0.778582E-06   0.576027E-03  -0.778582E-06   0.123546E-06
    68   0.181404E+04  -0.484927E+01   0.566564E-03  -0.484927E+01   0.301463E+00  -0.917201E-06   0.566564E-03  -0.917201E-06   0.122877E-06
    69   0.183795E+04  -0.527399E+01   0.557376E-03  -0.527399E+01   0.314183E+00  -0.103383E-05   0.557376E-03  -0.103383E-05   0.122205E-06
    70   0.186200E+04  -0.570996E+01   0.548509E-03  -0.570996E+01   0.327134E+00  -0.110922E-05   0.548509E-03  -0.110922E-05   0.121531E-06
    71   0.188616E+04  -0.615700E+01   0.539992E-03  -0.615700E+01   0.340312E+00  -0.112952E-05   0.539992E-03  -0.112952E-05   0.120856E-06
    72   0.191055E+04  -0.661602E+01   0.531806E-03  -0.661602E+01   0.353712E+00  -0.110250E-05   0.531806E-03  -0.110250E-05   0.120180E-06
    73   0.193529E+04  -0.708798E+01   0.523916E-03  -0.708798E+01   0.367330E+00  -0.104131E-05   0.523916E-03  -0.104131E-05   0.119503E-06
    74   0.196038E+04  -0.757278E+01   0.516290E-03  -0.757278E+01   0.381153E+00  -0.959114E-06   0.516290E-03  -0.959114E-06   0.118824E-06
    75   0.198583E+04  -0.806999E+01   0.508893E-03  -0.806999E+01   0.395171E+00  -0.869061E-06   0.508893E-03  -0.869061E-06   0.118144E-06
    76   0.201158E+04  -0.857906E+01   0.501693E-03  -0.857906E+01   0.409369E+00  -0.783017E-06   0.501693E-03  -0.783017E-06   0.117464E-06
    77   0.203753E+04  -0.909854E+01   0.494665E-03  -0.909854E+01   0.423736E+00  -0.707659E-06   0.494665E-03  -0.707659E-06   0.116782E-06
    78   0.206364E+04  -0.962798E+01   0.487785E-03  -0.962798E+01   0.438261E+00  -0.648370E-06   0.487785E-03  -0.648370E-06   0.116100E-06
    79   0.208996E+04  -0.101672E+02   0.481029E-03  -0.101672E+02   0.452931E+00  -0.610533E-06   0.481029E-03  -0.610533E-06   0.115419E-06
    80   0.211652E+04  -0.107162E+02   0.474374E-03  -0.107162E+02   0.467736E+00  -0.599530E-06   0.474374E-03  -0.599530E-06   0.114737E-06
    81   0.214333E+04  -0.112748E+02   0.467801E-03  -0.112748E+02   0.482664E+00  -0.618574E-06   0.467801E-03  -0.618574E-06   0.114057E-06
    82   0.217041E+04  -0.118425E+02   0.461318E-03  -0.118425E+02   0.497705E+00  -0.662200E-06   0.461318E-03  -0.662200E-06   0.113378E-06
    83   0.219774E+04  -0.124190E+02   0.454938E-03  -0.124190E+02   0.512847E+00  -0.722771E-06   0.454938E-03  -0.722771E-06   0.112700E-06
    84   0.222532E+04  -0.130039E+02   0.448674E-03  -0.130039E+02   0.528081E+00  -0.792652E-06   0.448674E-03  -0.792652E-06   0.112024E-06
    85   0.225313E+04  -0.135969E+02   0.442540E-03  -0.135969E+02   0.543394E+00  -0.864206E-06   0.442540E-03  -0.864206E-06   0.111350E-06
    86   0.228118E+04  -0.141974E+02   0.436546E-03  -0.141974E+02   0.558778E+00  -0.930976E-06   0.436546E-03  -0.930976E-06   0.110678E-06
    87   0.230943E+04  -0.148050E+02   0.430693E-03  -0.148050E+02   0.574218E+00  -0.991215E-06   0.430693E-03  -0.991215E-06   0.110009E-06
    88   0.233787E+04  -0.154191E+02   0.424980E-03  -0.154191E+02   0.589702E+00  -0.104435E-05   0.424980E-03  -0.104435E-05   0.109342E-06
    89   0.236650E+04  -0.160392E+02   0.419403E-03  -0.160392E+02   0.605216E+00  -0.108982E-05   0.419403E-03  -0.108982E-05   0.108678E-06
    90   0.239533E+04  -0.166652E+02   0.413962E-03  -0.166652E+02   0.620745E+00  -0.112705E-05   0.413962E-03  -0.112705E-05   0.108017E-06
    91   0.242437E+04  -0.172964E+02   0.408653E-03  -0.172964E+02   0.636274E+00  -0.115568E-05   0.408653E-03  -0.115568E-05   0.107358E-06
    92   0.245361E+04  -0.179328E+02   0.403473E-03  -0.179328E+02   0.651788E+00  -0.117618E-05   0.403473E-03  -0.117618E-05   0.106703E-06
    93   0.248307E+04  -0.185736E+02   0.398417E-03  -0.185736E+02   0.667273E+00  -0.118920E-05   0.398417E-03  -0.118920E-05   0.106050E-06
    94   0.251275E+04  -0.192189E+02   0.393480E-03  -0.192189E+02   0.682716E+00  -0.119543E-05   0.393480E-03  -0.119543E-05   0.105401E-06
    95   0.254266E+04  -0.198679E+02   0.388660E-03  -0.198679E+02   0.698102E+00  -0.119552E-05   0.388660E-03  -0.119552E-05   0.104755E-06
    96   0.257279E+04  -0.205203E+02   0.383950E-03  -0.205203E+02   0.713417E+00  -0.119016E-05   0.383950E-03  -0.119016E-05   0.104112E-06
    97   0.260315E+04  -0.211757E+02   0.379348E-03  -0.211757E+02   0.728647E+00  -0.118001E-05   0.379348E-03  -0.118001E-05   0.103472E-06
    98   0.263374E+04  -0.218336E+02   0.374848E-03  -0.218336E+02   0.743775E+00  -0.116574E-05   0.374848E-03  -0.116574E-05   0.102836E-06
    99   0.266453E+04  -0.224935E+02   0.370446E-03  -0.224935E+02   0.758789E+00  -0.114802E-05   0.370446E-03  -0.114802E-05   0.102203E-06
   100   0.269556E+04  -0.231550E+02   0.366138E-03  -0.231550E+02   0.773676E+00  -0.112752E-05   0.366138E-03  -0.112752E-05   0.101573E-06
   101   0.272680E+04  -0.238174E+02   0.361920E-03  -0.238174E+02   0.788422E+00  -0.110490E-05   0.361920E-03  -0.110490E-05   0.100947E-06
   102   0.275825E+04  -0.244804E+02   0.357786E-03  -0.244804E+02   0.803005E+00  -0.108085E-05   0.357786E-03  -0.108085E-05   0.100325E-06
   103   0.278991E+04  -0.251434E+02   0.353734E-03  -0.251434E+02   0.817425E+00  -0.105603E-05   0.353734E-03  -0.105603E-05   0.997061E-07
   104   0.282178E+04  -0.258059E+02   0.349757E-03  -0.258059E+02   0.831652E+00  -0.103110E-05   0.349757E-03  -0.103110E-05   0.990909E-07
   105   0.285384E+04  -0.264674E+02   0.345853E-03  -0.264674E+02   0.845679E+00  -0.100675E-05   0.345853E-03  -0.100675E-05   0.984795E-07
   106   0.288609E+04  -0.271271E+02   0.342017E-03  -0.271271E+02   0.859492E+00  -0.983631E-06   0.342017E-03  -0.983631E-06   0.978718E-07
   107   0.291852E+04  -0.277846E+02   0.338243E-03  -0.277846E+02   0.873083E+00  -0.962421E-06   0.338243E-03  -0.962421E-06   0.972680E-07
   108   0.295112E+04  -0.284395E+02   0.334529E-03  -0.284395E+02   0.886430E+00  -0.943789E-06   0.334529E-03  -0.943789E-06   0.966681E-07
   109   0.298389E+04  -0.290909E+02   0.330870E-03  -0.290909E+02   0.899527E+00  -0.928405E-06   0.330870E-03  -0.928405E-06   0.960722E-07
   110   0.301683E+04  -0.297384E+02   0.327261E-03  -0.297384E+02   0.912350E+00  -0.916938E-06   0.327261E-03  -0.916938E-06   0.954803E-07
   111   0.304992E+04  -0.303816E+02   0.323698E-03  -0.303816E+02   0.924893E+00  -0.909888E-06   0.323698E-03  -0.909888E-06   0.948924E-07
   112   0.308316E+04  -0.310197E+02   0.320182E-03  -0.310197E+02   0.937149E+00  -0.907080E-06   0.320182E-03  -0.907080E-06   0.943087E-07
   113   0.311655E+04  -0.316523E+02   0.316711E-03  -0.316523E+02   0.949094E+00  -0.908167E-06   0.316711E-03  -0.908167E-06   0.937290E-07
   114   0.315008E+04  -0.322788E+02   0.313288E-03  -0.322788E+02   0.960713E+00  -0.912804E-06   0.313288E-03  -0.912804E-06   0.931534E-07
   115   0.318373E+04  -0.328985E+02   0.309911E-03  -0.328985E+02   0.972007E+00  -0.920646E-06   0.309911E-03  -0.920646E-06   0.925819E-07
   116   0.321751E+04  -0.335110E+02   0.306581E-03  -0.335110E+02   0.982960E+00  -0.931346E-06   0.306581E-03  -0.931346E-06   0.920144E-07
   117   0.325142E+04  -0.341157E+02   0.303298E-03  -0.341157E+02   0.993550E+00  -0.944560E-06   0.303298E-03  -0.944560E-06   0.914510E-07
   118   0.328542E+04  -0.347119E+02   0.300062E-03  -0.347119E+02   0.100378E+01  -0.959941E-06   0.300062E-03  -0.959941E-06   0.908917E-07
   119   0.331954E+04  -0.352992E+02   0.296874E-03  -0.352992E+02   0.101362E+01  -0.977144E-06   0.296874E-03  -0.977144E-06   0.903365E-07
   120   0.335374E+04  -0.358770E+02   0.293733E-03  -0.358770E+02   0.102309E+01  -0.995824E-06   0.293733E-03  -0.995824E-06   0.897854E-07
   121   0.338804E+04  -0.364447E+02   0.290641E-03  -0.364447E+02   0.103215E+01  -0.101563E-05   0.290641E-03  -0.101563E-05   0.892383E-07
   122   0.342240E+04  -0.370018E+02   0.287596E-03  -0.370018E+02   0.104080E+01  -0.103623E-05   0.287596E-03  -0.103623E-05   0.886953E-07
   123   0.345684E+04  -0.375477E+02   0.284599E-03  -0.375477E+02   0.104904E+01  -0.105726E-05   0.284599E-03  -0.105726E-05   0.881564E-07
   124   0.349134E+04  -0.380819E+02   0.281651E-03  -0.380819E+02   0.105684E+01  -0.107839E-05   0.281651E-03  -0.107839E-05   0.876216E-07
   125   0.352589E+04  -0.386038E+02   0.278751E-03  -0.386038E+02   0.106421E+01  -0.109927E-05   0.278751E-03  -0.109927E-05   0.870908E-07
   126   0.356049E+04  -0.391129E+02   0.275901E-03  -0.391129E+02   0.107114E+01  -0.111955E-05   0.275901E-03  -0.111955E-05   0.865641E-07
   127   0.359512E+04  -0.396086E+02   0.273099E-03  -0.396086E+02   0.107762E+01  -0.113888E-05   0.273099E-03  -0.113888E-05   0.860414E-07
   128   0.362977E+04  -0.400905E+02   0.270346E-03  -0.400905E+02   0.108363E+01  -0.115693E-05   0.270346E-03  -0.115693E-05   0.855229E-07
   129   0.366445E+04  -0.405581E+02   0.267643E-03  -0.405581E+02   0.108919E+01  -0.117335E-05   0.267643E-03  -0.117335E-05   0.850084E-07
   130   0.369913E+04  -0.410107E+02   0.264989E-03  -0.410107E+02   0.109426E+01  -0.118778E-05   0.264989E-03  -0.118778E-05   0.844980E-07
   131   0.373381E+04  -0.414478E+02   0.262385E-03  -0.414478E+02   0.109886E+01  -0.119996E-05   0.262385E-03  -0.119996E-05   0.839916E-07
   132   0.376848E+04  -0.418690E+02   0.259829E-03  -0.418690E+02   0.110299E+01  -0.120992E-05   0.259829E-03  -0.120992E-05   0.834893E-07
   133   0.380314E+04  -0.422738E+02   0.257319E-03  -0.422738E+02   0.110662E+01  -0.121775E-05   0.257319E-03  -0.121775E-05   0.829910E-07
   134   0.383777E+04  -0.426617E+02   0.254855E-03  -0.426617E+02   0.110977E+01  -0.122355E-05   0.254855E-03  -0.122355E-05   0.824967E-07
   135   0.387237E+04  -0.430323E+02   0.252435E-03  -0.430323E+02   0.111242E+01  -0.122742E-05   0.252435E-03  -0.122742E-05   0.820063E-07
   136   0.390693E+04  -0.433850E+02   0.250056E-03  -0.433850E+02   0.111459E+01  -0.122946E-05   0.250056E-03  -0.122946E-05   0.815199E-07
   137   0.394145E+04  -0.437194E+02   0.247719E-03  -0.437194E+02   0.111625E+01  -0.122978E-05   0.247719E-03  -0.122978E-05   0.810374E-07
   138   0.397591E+04  -0.440351E+02   0.245421E-03  -0.440351E+02   0.111742E+01  -0.122846E-05   0.245421E-03  -0.122846E-05   0.805587E-07
   139   0.401030E+04  -0.443316E+02   0.243160E-03  -0.443316E+02   0.111810E+01  -0.122561E-05   0.243160E-03  -0.122561E-05   0.800840E-07
   140   0.404463E+04  -0.446086E+02   0.240936E-03  -0.446086E+02   0.111827E+01  -0.122133E-05   0.240936E-03  -0.122133E-05   0.796130E-07
   141   0.407888E+04  -0.448657E+02   0.238746E-03  -0.448657E+02   0.111797E+01  -0.121571E-05   0.238746E-03  -0.121571E-05   0.791458E-07
   142   0.411304E+04  -0.451023E+02   0.236589E-03  -0.451023E+02   0.111716E+01  -0.120886E-05   0.236589E-03  -0.120886E-05   0.786824E-07
   143   0.414711E+04  -0.453182E+02   0.234465E-03  -0.453182E+02   0.111586E+01  -0.120088E-05   0.234465E-03  -0.120088E-05   0.782227E-07
   144   0.418107E+04  -0.455129E+02   0.232370E-03  -0.455129E+02   0.111409E+01  -0.119186E-05   0.232370E-03  -0.119186E-05   0.777668E-07
   145   0.421492E+04  -0.456860E+02   0.230304E-03  -0.456860E+02   0.111182E+01  -0.118190E-05   0.230304E-03  -0.118190E-05   0.773145E-07
   146   0.424864E+04  -0.458372E+02   0.228265E-03  -0.458372E+02   0.110907E+01  -0.117111E-05   0.228265E-03  -0.117111E-05   0.768659E-07
   147   0.428221E+04  -0.459659E+02   0.226252E-03  -0.459659E+02   0.110586E+01  -0.115958E-05   0.226252E-03  -0.115958E-05   0.764209E-07
   148   0.431562E+04  -0.460719E+02   0.224263E-03  -0.460719E+02   0.110218E+01  -0.114741E-05   0.224263E-03  -0.114741E-05   0.759795E-07
   149   0.434885E+04  -0.461547E+02   0.222297E-03  -0.461547E+02   0.109804E+01  -0.113470E-05   0.222297E-03  -0.113470E-05   0.755417E-07
   150   0.438191E+04  -0.462139E+02   0.220352E-03  -0.462139E+02   0.109345E+01  -0.112155E-05   0.220352E-03  -0.112155E-05   0.751074E-07
   151   0.441475E+04  -0.462492E+02   0.218427E-03  -0.462492E+02   0.108842E+01  -0.110805E-05   0.218427E-03  -0.110805E-05   0.746766E-07
   152   0.444739E+04  -0.462602E+02   0.216522E-03  -0.462602E+02   0.108295E+01  -0.109423E-05   0.216522E-03  -0.109423E-05   0.742494E-07
   153   0.447981E+04  -0.462468E+02   0.214636E-03  -0.462468E+02   0.107705E+01  -0.108011E-05   0.214636E-03  -0.108011E-05   0.738256E-07
   154   0.451202E+04  -0.462087E+02   0.212769E-03  -0.462087E+02   0.107075E+01  -0.106571E-05   0.212769E-03  -0.106571E-05   0.734053E-07
   155   0.454400E+04  -0.461456E+02   0.210922E-03  -0.461456E+02   0.106404E+01  -0.105106E-05   0.210922E-03  -0.105106E-05   0.729884E-07
   156   0.457576E+04  -0.460572E+02   0.209093E-03  -0.460572E+02   0.105694E+01  -0.103618E-05   0.209093E-03  -0.103618E-05   0.725749E-07
   157   0.460728E+04  -0.459434E+02   0.207284E-03  -0.459434E+02   0.104946E+01  -0.102109E-05   0.207284E-03  -0.102109E-05   0.721648E-07
   158   0.463856E+04  -0.458038E+02   0.205494E-03  -0.458038E+02   0.104163E+01  -0.100581E-05   0.205494E-03  -0.100581E-05   0.717580E-07
   159   0.466960E+04  -0.456383E+02   0.203722E-03  -0.456383E+02   0.103343E+01  -0.990371E-06   0.203722E-03  -0.990371E-06   0.713546E-07
   160   0.470038E+04  -0.454467E+02   0.201969E-03  -0.454467E+02   0.102491E+01  -0.974784E-06   0.201969E-03  -0.974784E-06   0.709545E-07
   161   0.473088E+04  -0.452287E+02   0.200235E-03  -0.452287E+02   0.101606E+01  -0.959074E-06   0.200235E-03  -0.959074E-06   0.705577E-07
   162   0.476109E+04  -0.449842E+02   0.198519E-03  -0.449842E+02   0.100691E+01  -0.943265E-06   0.198519E-03  -0.943265E-06   0.701641E-07
   163   0.479100E+04  -0.447128E+02   0.196822E-03  -0.447128E+02   0.997488E+00  -0.927377E-06   0.196822E-03  -0.927377E-06   0.697738E-07
   164   0.482060E+04  -0.444146E+02   0.195143E-03  -0.444146E+02   0.987790E+00  -0.911432E-06   0.195143E-03  -0.911432E-06   0.693867E-07
   165   0.484987E+04  -0.440891E+02   0.193482E-03  -0.440891E+02   0.977839E+00  -0.895454E-06   0.193482E-03  -0.895454E-06   0.690029E-07
   166   0.487881E+04  -0.437365E+02   0.191839E-03  -0.437365E+02   0.967658E+00  -0.879462E-06   0.191839E-03  -0.879462E-06   0.686222E-07
   167   0.490741E+04  -0.433564E+02   0.190214E-03  -0.433564E+02   0.957269E+00  -0.863480E-06   0.190214E-03  -0.863480E-06   0.682447E-07
   168   0.493566E+04  -0.429490E+02   0.188607E-03  -0.429490E+02   0.946695E+00  -0.847529E-06   0.188607E-03  -0.847529E-06   0.678703E-07
   169   0.496355E+04  -0.425140E+02   0.187018E-03  -0.425140E+02   0.935957E+00  -0.831631E-06   0.187018E-03  -0.831631E-06   0.674990E-07
   170   0.499108E+04  -0.420516E+02   0.185446E-03  -0.420516E+02   0.925071E+00  -0.815809E-06   0.185446E-03  -0.815809E-06   0.671308E-07
   171   0.501822E+04  -0.415614E+02   0.183892E-03  -0.415614E+02   0.914066E+00  -0.800083E-06   0.183892E-03  -0.800083E-06   0.667656E-07
   172   0.504499E+04  -0.410436E+02   0.182356E-03  -0.410436E+02   0.902964E+00  -0.784476E-06   0.182356E-03  -0.784476E-06   0.664036E-07
   173   0.507136E+04  -0.404981E+02   0.180836E-03  -0.404981E+02   0.891787E+00  -0.769010E-06   0.180836E-03  -0.769010E-06   0.660445E-07
   174   0.509732E+04  -0.399248E+02   0.179334E-03  -0.399248E+02   0.880558E+00  -0.753706E-06   0.179334E-03  -0.753706E-06   0.656884E-07
   175   0.512288E+04  -0.393239E+02   0.177849E-03  -0.393239E+02   0.869314E+00  -0.738587E-06   0.177849E-03  -0.738587E-06   0.653353E-07
   176   0.514802E+04  -0.386954E+02   0.176381E-03  -0.386954E+02   0.858070E+00  -0.723668E-06   0.176381E-03  -0.723668E-06   0.649852E-07
   177   0.517273E+04  -0.380391E+02   0.174929E-03  -0.380391E+02   0.846862E+00  -0.708945E-06   0.174929E-03  -0.708945E-06   0.646380E-07
   178   0.519700E+04  -0.373553E+02   0.173494E-03  -0.373553E+02   0.835713E+00  -0.694405E-06   0.173494E-03  -0.694405E-06   0.642937E-07
