#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.177562E-01   0.123828E+08   0.123571E+08  -0.533690E+03  -0.950348E+03   0.609844E+07   0.123505E+08   0.123788E+08   0.123505E+08  -0.295040E+00   0.652407E+07   0.652354E+07   0.996209E+01
   0.196062E-01   0.117296E+08   0.117003E+08  -0.508509E+03  -0.738599E+03   0.541516E+07   0.116966E+08   0.117250E+08   0.116966E+08  -0.279420E+00   0.617902E+07   0.617847E+07   0.921738E+01
   0.216490E-01   0.110443E+08   0.110112E+08  -0.356363E+03  -0.570589E+03   0.475931E+07   0.110108E+08   0.110391E+08   0.110108E+08  -0.263037E+00   0.581707E+07   0.581651E+07   0.852312E+01
   0.239046E-01   0.103313E+08   0.102945E+08  -0.296526E+03  -0.437925E+03   0.413768E+07   0.102976E+08   0.103255E+08   0.102976E+08  -0.246000E+00   0.544062E+07   0.544005E+07   0.785487E+01
   0.263952E-01   0.959787E+07   0.955755E+07  -0.234033E+03  -0.333791E+03   0.355718E+07   0.956434E+07   0.959154E+07   0.956434E+07  -0.228482E+00   0.505348E+07   0.505291E+07   0.719379E+01
   0.291452E-01   0.885443E+07   0.881114E+07  -0.148368E+03  -0.252646E+03   0.302348E+07   0.882138E+07   0.884763E+07   0.882138E+07  -0.210734E+00   0.466119E+07   0.466062E+07   0.651892E+01
   0.321819E-01   0.811512E+07   0.806979E+07  -0.159835E+03  -0.189975E+03   0.254183E+07   0.808291E+07   0.810800E+07   0.808291E+07  -0.193092E+00   0.427123E+07   0.427067E+07   0.581454E+01
   0.355349E-01   0.739739E+07   0.735141E+07  -0.950258E+02  -0.142079E+03   0.211606E+07   0.736640E+07   0.739017E+07   0.736640E+07  -0.175976E+00   0.389282E+07   0.389228E+07   0.507209E+01
   0.392372E-01   0.672077E+07   0.667593E+07  -0.698428E+02  -0.105908E+03   0.174811E+07   0.669135E+07   0.671373E+07   0.669135E+07  -0.159849E+00   0.353628E+07   0.353577E+07   0.429402E+01
   0.433253E-01   0.610408E+07   0.606242E+07  -0.774831E+02  -0.789214E+02   0.143743E+07   0.607653E+07   0.609754E+07   0.607653E+07  -0.145162E+00   0.321152E+07   0.321107E+07   0.349757E+01
   0.476578E-01   0.557874E+07   0.554204E+07  -0.584736E+02  -0.596334E+02   0.118912E+07   0.555321E+07   0.557297E+07   0.555321E+07  -0.132660E+00   0.293508E+07   0.293468E+07   0.274615E+01
   0.519904E-01   0.516488E+07   0.513396E+07  -0.455068E+02  -0.464090E+02   0.100178E+07   0.514128E+07   0.516003E+07   0.514128E+07  -0.122820E+00   0.271746E+07   0.271713E+07   0.211074E+01
   0.563229E-01   0.482837E+07   0.480321E+07  -0.362623E+02  -0.369811E+02   0.856228E+06   0.480653E+07   0.482442E+07   0.480653E+07  -0.114823E+00   0.254061E+07   0.254034E+07   0.160275E+01
   0.606554E-01   0.454309E+07   0.452297E+07  -0.294298E+02  -0.300130E+02   0.739720E+06   0.452280E+07   0.453993E+07   0.452280E+07  -0.108045E+00   0.239071E+07   0.239049E+07   0.122324E+01
   0.649880E-01   0.428947E+07   0.427320E+07  -0.242127E+02  -0.246924E+02   0.643742E+06   0.427049E+07   0.428691E+07   0.427049E+07  -0.102018E+00   0.225740E+07   0.225721E+07   0.962542E+00
   0.693205E-01   0.405129E+07   0.403745E+07  -0.201040E+02  -0.205022E+02   0.562352E+06   0.403340E+07   0.404912E+07   0.403340E+07  -0.963538E-01   0.213213E+07   0.213196E+07   0.802076E+00
   0.736530E-01   0.381656E+07   0.380376E+07  -0.167796E+02  -0.171120E+02   0.491555E+06   0.379957E+07   0.381455E+07   0.379957E+07  -0.907678E-01   0.200856E+07   0.200841E+07   0.717701E+00
   0.779856E-01   0.358156E+07   0.356866E+07  -0.140472E+02  -0.143254E+02   0.429267E+06   0.356533E+07   0.357953E+07   0.356533E+07  -0.851721E-01   0.188478E+07   0.188462E+07   0.683827E+00
   0.823181E-01   0.334931E+07   0.333556E+07  -0.117908E+02  -0.120243E+02   0.374572E+06   0.333375E+07   0.334715E+07   0.333375E+07  -0.796397E-01   0.176239E+07   0.176222E+07   0.676580E+00
   0.866506E-01   0.312617E+07   0.311128E+07  -0.993273E+01  -0.101293E+02   0.327047E+06   0.311123E+07   0.312383E+07   0.311123E+07  -0.743240E-01   0.164478E+07   0.164461E+07   0.676204E+00
   0.909831E-01   0.291837E+07   0.290243E+07  -0.841063E+01  -0.857708E+01   0.286267E+06   0.290402E+07   0.291587E+07   0.290402E+07  -0.693739E-01   0.153526E+07   0.153508E+07   0.668530E+00
   0.963719E-01   0.268852E+07   0.267190E+07  -0.690617E+01  -0.704282E+01   0.244164E+06   0.267490E+07   0.268591E+07   0.267490E+07  -0.639006E-01   0.141416E+07   0.141398E+07   0.637243E+00
   0.101761E+00   0.249615E+07   0.247982E+07  -0.575128E+01  -0.586507E+01   0.210547E+06   0.248329E+07   0.249358E+07   0.248329E+07  -0.593232E-01   0.131288E+07   0.131271E+07   0.579451E+00
   0.107149E+00   0.234276E+07   0.232767E+07  -0.486915E+01  -0.496547E+01   0.184072E+06   0.233067E+07   0.234039E+07   0.233067E+07  -0.556773E-01   0.123221E+07   0.123205E+07   0.502100E+00
   0.112538E+00   0.222304E+07   0.220986E+07  -0.418911E+01  -0.427197E+01   0.163139E+06   0.221169E+07   0.222097E+07   0.221169E+07  -0.528350E-01   0.116932E+07   0.116918E+07   0.417380E+00
   0.117927E+00   0.212630E+07   0.211527E+07  -0.364965E+01  -0.372183E+01   0.146103E+06   0.211565E+07   0.212456E+07   0.211565E+07  -0.505406E-01   0.111855E+07   0.111843E+07   0.338003E+00
   0.123316E+00   0.204070E+07   0.203160E+07  -0.320384E+01  -0.326720E+01   0.131589E+06   0.203067E+07   0.203927E+07   0.203067E+07  -0.485105E-01   0.107363E+07   0.107353E+07   0.273692E+00
   0.128704E+00   0.195679E+07   0.194910E+07  -0.282064E+01  -0.287642E+01   0.118657E+06   0.194730E+07   0.195558E+07   0.194730E+07  -0.465190E-01   0.102956E+07   0.102947E+07   0.229312E+00
   0.134093E+00   0.186917E+07   0.186220E+07  -0.248237E+01  -0.253146E+01   0.106791E+06   0.186014E+07   0.186808E+07   0.186014E+07  -0.444368E-01   0.983487E+06   0.983404E+06   0.204628E+00
   0.139482E+00   0.177665E+07   0.176977E+07  -0.218080E+01  -0.222393E+01   0.958076E+05   0.176800E+07   0.177557E+07   0.176800E+07  -0.422357E-01   0.934778E+06   0.934697E+06   0.195389E+00
   0.144870E+00   0.168124E+07   0.167400E+07  -0.191301E+01  -0.195084E+01   0.857174E+05   0.167291E+07   0.168010E+07   0.167291E+07  -0.399641E-01   0.884511E+06   0.884426E+06   0.195159E+00
   0.150259E+00   0.158672E+07   0.157896E+07  -0.167825E+01  -0.171143E+01   0.766081E+05   0.157870E+07   0.158550E+07   0.157870E+07  -0.377136E-01   0.834707E+06   0.834618E+06   0.197295E+00
   0.155648E+00   0.149777E+07   0.148956E+07  -0.147633E+01  -0.150551E+01   0.685828E+05   0.149004E+07   0.149648E+07   0.149004E+07  -0.355956E-01   0.787836E+06   0.787744E+06   0.196575E+00
   0.161037E+00   0.141882E+07   0.141046E+07  -0.130647E+01  -0.133229E+01   0.617063E+05   0.141140E+07   0.141751E+07   0.141140E+07  -0.337168E-01   0.746259E+06   0.746167E+06   0.190114E+00
   0.166425E+00   0.135247E+07   0.134430E+07  -0.116605E+01  -0.118910E+01   0.559459E+05   0.134535E+07   0.135119E+07   0.134535E+07  -0.321390E-01   0.711341E+06   0.711253E+06   0.177479E+00
   0.171814E+00   0.129829E+07   0.129065E+07  -0.105029E+01  -0.107105E+01   0.511481E+05   0.129148E+07   0.129709E+07   0.129148E+07  -0.308520E-01   0.682858E+06   0.682776E+06   0.160188E+00
   0.177203E+00   0.125354E+07   0.124664E+07  -0.953423E+00  -0.972268E+00   0.470928E+05   0.124702E+07   0.125245E+07   0.124702E+07  -0.297900E-01   0.659355E+06   0.659280E+06   0.140875E+00
   0.182592E+00   0.121476E+07   0.120865E+07  -0.870280E+00  -0.887481E+00   0.435689E+05   0.120852E+07   0.121380E+07   0.120852E+07  -0.288704E-01   0.639002E+06   0.638935E+06   0.122382E+00
   0.187980E+00   0.117863E+07   0.117324E+07  -0.796751E+00  -0.812500E+00   0.404025E+05   0.117266E+07   0.117778E+07   0.117266E+07  -0.280136E-01   0.620039E+06   0.619979E+06   0.106981E+00
   0.193369E+00   0.114225E+07   0.113737E+07  -0.729772E+00  -0.744196E+00   0.374611E+05   0.113651E+07   0.114148E+07   0.113651E+07  -0.271500E-01   0.600927E+06   0.600871E+06   0.958964E-01
   0.198758E+00   0.110371E+07   0.109910E+07  -0.667459E+00  -0.680651E+00   0.346641E+05   0.109817E+07   0.110299E+07   0.109817E+07  -0.262342E-01   0.580658E+06   0.580605E+06   0.891961E-01
   0.204146E+00   0.106273E+07   0.105817E+07  -0.609204E+00  -0.621244E+00   0.319928E+05   0.105738E+07   0.106202E+07   0.105738E+07  -0.252596E-01   0.559089E+06   0.559036E+06   0.860106E-01
   0.209535E+00   0.102047E+07   0.101582E+07  -0.555271E+00  -0.566245E+00   0.294725E+05   0.101528E+07   0.101974E+07   0.101528E+07  -0.242540E-01   0.536833E+06   0.536780E+06   0.849252E-01
   0.214924E+00   0.978711E+06   0.973899E+06  -0.506165E+00  -0.516168E+00   0.271410E+05   0.973669E+06   0.977955E+06   0.973669E+06  -0.232599E-01   0.514833E+06   0.514779E+06   0.844212E-01
   0.220313E+00   0.939195E+06   0.934264E+06  -0.462247E+00  -0.471382E+00   0.250292E+05   0.934304E+06   0.938421E+06   0.934304E+06  -0.223195E-01   0.494020E+06   0.493965E+06   0.832545E-01
   0.225701E+00   0.903326E+06   0.898375E+06  -0.423612E+00  -0.431983E+00   0.231530E+05   0.898585E+06   0.902549E+06   0.898585E+06  -0.214662E-01   0.475135E+06   0.475081E+06   0.806948E-01
   0.231090E+00   0.871856E+06   0.867011E+06  -0.390012E+00  -0.397719E+00   0.215090E+05   0.867266E+06   0.871095E+06   0.867266E+06  -0.207181E-01   0.458576E+06   0.458523E+06   0.765909E-01
   0.236479E+00   0.844714E+06   0.840090E+06  -0.360855E+00  -0.367986E+00   0.200738E+05   0.840274E+06   0.843987E+06   0.840274E+06  -0.200733E-01   0.444305E+06   0.444254E+06   0.712813E-01
   0.241868E+00   0.821130E+06   0.816805E+06  -0.335339E+00  -0.341965E+00   0.188099E+05   0.816838E+06   0.820451E+06   0.816838E+06  -0.195134E-01   0.431913E+06   0.431866E+06   0.654049E-01
   0.247256E+00   0.799946E+06   0.795940E+06  -0.312618E+00  -0.318795E+00   0.176762E+05   0.795793E+06   0.799316E+06   0.795793E+06  -0.190107E-01   0.420786E+06   0.420742E+06   0.596780E-01
   0.252645E+00   0.779870E+06   0.776156E+06  -0.291924E+00  -0.297692E+00   0.166336E+05   0.775849E+06   0.779287E+06   0.775849E+06  -0.185342E-01   0.410241E+06   0.410200E+06   0.546962E-01
   0.258034E+00   0.759773E+06   0.756282E+06  -0.272656E+00  -0.278044E+00   0.156513E+05   0.755873E+06   0.759225E+06   0.755873E+06  -0.180570E-01   0.399679E+06   0.399640E+06   0.508081E-01
   0.263422E+00   0.739006E+06   0.735654E+06  -0.254470E+00  -0.259498E+00   0.147120E+05   0.735217E+06   0.738480E+06   0.735217E+06  -0.175636E-01   0.388758E+06   0.388720E+06   0.480772E-01
   0.268811E+00   0.717536E+06   0.714245E+06  -0.237272E+00  -0.241960E+00   0.138124E+05   0.713850E+06   0.717019E+06   0.713850E+06  -0.170531E-01   0.377460E+06   0.377422E+06   0.463202E-01
