#    L    TT             EE             BB             TE             PP             TP             EP          
   499   0.244334E+04   0.823090E+01   0.000000E+00  -0.609873E+02   0.193013E-07   0.390901E-05   0.893483E-06
   500   0.245154E+04   0.811442E+01   0.000000E+00  -0.600447E+02   0.192459E-07   0.386047E-05   0.873465E-06
   501   0.245955E+04   0.800144E+01   0.000000E+00  -0.590793E+02   0.191907E-07   0.381373E-05   0.853611E-06
   502   0.246737E+04   0.789209E+01   0.000000E+00  -0.580917E+02   0.191358E-07   0.376875E-05   0.833922E-06
   503   0.247500E+04   0.778639E+01   0.000000E+00  -0.570825E+02   0.190811E-07   0.372552E-05   0.814395E-06
   504   0.248244E+04   0.768455E+01   0.000000E+00  -0.560526E+02   0.190266E-07   0.368401E-05   0.795027E-06
   505   0.248969E+04   0.758649E+01   0.000000E+00  -0.550025E+02   0.189723E-07   0.364422E-05   0.775815E-06
   506   0.249674E+04   0.749238E+01   0.000000E+00  -0.539329E+02   0.189183E-07   0.360612E-05   0.756755E-06
   507   0.250359E+04   0.740229E+01   0.000000E+00  -0.528446E+02   0.188644E-07   0.356969E-05   0.737845E-06
   508   0.251025E+04   0.731629E+01   0.000000E+00  -0.517381E+02   0.188108E-07   0.353492E-05   0.719081E-06
   509   0.251670E+04   0.723446E+01   0.000000E+00  -0.506142E+02   0.187575E-07   0.350179E-05   0.700460E-06
   510   0.252295E+04   0.715686E+01   0.000000E+00  -0.494737E+02   0.187043E-07   0.347028E-05   0.681979E-06
   511   0.252899E+04   0.708354E+01   0.000000E+00  -0.483172E+02   0.186514E-07   0.344037E-05   0.663635E-06
   512   0.253483E+04   0.701457E+01   0.000000E+00  -0.471453E+02   0.185986E-07   0.341205E-05   0.645424E-06
   513   0.254046E+04   0.695002E+01   0.000000E+00  -0.459588E+02   0.185461E-07   0.338530E-05   0.627344E-06
   514   0.254586E+04   0.688994E+01   0.000000E+00  -0.447584E+02   0.184938E-07   0.336010E-05   0.609391E-06
   515   0.255106E+04   0.683440E+01   0.000000E+00  -0.435447E+02   0.184417E-07   0.333643E-05   0.591563E-06
   516   0.255603E+04   0.678345E+01   0.000000E+00  -0.423186E+02   0.183899E-07   0.331428E-05   0.573855E-06
   517   0.256079E+04   0.673715E+01   0.000000E+00  -0.410807E+02   0.183382E-07   0.329362E-05   0.556265E-06
   518   0.256531E+04   0.669556E+01   0.000000E+00  -0.398317E+02   0.182868E-07   0.327445E-05   0.538790E-06
   519   0.256961E+04   0.665872E+01   0.000000E+00  -0.385726E+02   0.182355E-07   0.325673E-05   0.521427E-06
   520   0.257367E+04   0.662669E+01   0.000000E+00  -0.373038E+02   0.181845E-07   0.324046E-05   0.504172E-06
   521   0.257751E+04   0.659952E+01   0.000000E+00  -0.360262E+02   0.181337E-07   0.322562E-05   0.487022E-06
   522   0.258110E+04   0.657727E+01   0.000000E+00  -0.347406E+02   0.180831E-07   0.321218E-05   0.469974E-06
   523   0.258445E+04   0.655997E+01   0.000000E+00  -0.334475E+02   0.180327E-07   0.320014E-05   0.453026E-06
   524   0.258757E+04   0.654765E+01   0.000000E+00  -0.321480E+02   0.179825E-07   0.318947E-05   0.436173E-06
   525   0.259044E+04   0.654035E+01   0.000000E+00  -0.308425E+02   0.179325E-07   0.318015E-05   0.419413E-06
   526   0.259309E+04   0.653811E+01   0.000000E+00  -0.295320E+02   0.178827E-07   0.317217E-05   0.402742E-06
   527   0.259549E+04   0.654095E+01   0.000000E+00  -0.282170E+02   0.178332E-07   0.316551E-05   0.386158E-06
   528   0.259766E+04   0.654892E+01   0.000000E+00  -0.268985E+02   0.177838E-07   0.316015E-05   0.369657E-06
   529   0.259959E+04   0.656204E+01   0.000000E+00  -0.255770E+02   0.177346E-07   0.315608E-05   0.353236E-06
   530   0.260129E+04   0.658033E+01   0.000000E+00  -0.242535E+02   0.176856E-07   0.315327E-05   0.336891E-06
   531   0.260275E+04   0.660382E+01   0.000000E+00  -0.229286E+02   0.176369E-07   0.315172E-05   0.320621E-06
   532   0.260397E+04   0.663253E+01   0.000000E+00  -0.216034E+02   0.175883E-07   0.315139E-05   0.304421E-06
   533   0.260496E+04   0.666648E+01   0.000000E+00  -0.202784E+02   0.175399E-07   0.315228E-05   0.288289E-06
   534   0.260570E+04   0.670569E+01   0.000000E+00  -0.189546E+02   0.174917E-07   0.315436E-05   0.272221E-06
   535   0.260621E+04   0.675018E+01   0.000000E+00  -0.176327E+02   0.174437E-07   0.315762E-05   0.256214E-06
   536   0.260648E+04   0.679998E+01   0.000000E+00  -0.163135E+02   0.173960E-07   0.316204E-05   0.240265E-06
   537   0.260651E+04   0.685507E+01   0.000000E+00  -0.149978E+02   0.173484E-07   0.316760E-05   0.224371E-06
   538   0.260631E+04   0.691549E+01   0.000000E+00  -0.136864E+02   0.173010E-07   0.317429E-05   0.208529E-06
   539   0.260588E+04   0.698121E+01   0.000000E+00  -0.123799E+02   0.172538E-07   0.318208E-05   0.192735E-06
   540   0.260520E+04   0.705226E+01   0.000000E+00  -0.110793E+02   0.172068E-07   0.319097E-05   0.176987E-06
   541   0.260430E+04   0.712864E+01   0.000000E+00  -0.978504E+01   0.171599E-07   0.320092E-05   0.161281E-06
   542   0.260317E+04   0.721035E+01   0.000000E+00  -0.849810E+01   0.171133E-07   0.321193E-05   0.145614E-06
   543   0.260180E+04   0.729738E+01   0.000000E+00  -0.721914E+01   0.170669E-07   0.322398E-05   0.129983E-06
   544   0.260021E+04   0.738974E+01   0.000000E+00  -0.594890E+01   0.170206E-07   0.323704E-05   0.114385E-06
   545   0.259840E+04   0.748739E+01   0.000000E+00  -0.468805E+01   0.169745E-07   0.325110E-05   0.988161E-07
   546   0.259636E+04   0.759035E+01   0.000000E+00  -0.343729E+01   0.169287E-07   0.326615E-05   0.832740E-07
   547   0.259409E+04   0.769858E+01   0.000000E+00  -0.219733E+01   0.168830E-07   0.328216E-05   0.677553E-07
   548   0.259160E+04   0.781202E+01   0.000000E+00  -0.968836E+00   0.168375E-07   0.329912E-05   0.522569E-07
   549   0.258889E+04   0.793080E+01   0.000000E+00   0.247467E+00   0.167921E-07   0.331701E-05   0.367754E-07
   550   0.258595E+04   0.805471E+01   0.000000E+00   0.145090E+01   0.167470E-07   0.333581E-05   0.213079E-07
   551   0.258281E+04   0.818389E+01   0.000000E+00   0.264073E+01   0.167020E-07   0.335550E-05   0.585205E-08
   552   0.257944E+04   0.831820E+01   0.000000E+00   0.381626E+01   0.166573E-07   0.337608E-05  -0.959084E-08
   553   0.257587E+04   0.845763E+01   0.000000E+00   0.497675E+01   0.166127E-07   0.339753E-05  -0.250186E-07
   554   0.257209E+04   0.860219E+01   0.000000E+00   0.612151E+01   0.165682E-07   0.341985E-05  -0.404289E-07
   555   0.256811E+04   0.875180E+01   0.000000E+00   0.724980E+01   0.165240E-07   0.344302E-05  -0.558196E-07
   556   0.256392E+04   0.890646E+01   0.000000E+00   0.836090E+01   0.164799E-07   0.346703E-05  -0.711886E-07
   557   0.255954E+04   0.906610E+01   0.000000E+00   0.945418E+01   0.164361E-07   0.349187E-05  -0.865335E-07
   558   0.255496E+04   0.923072E+01   0.000000E+00   0.105289E+02   0.163924E-07   0.351753E-05  -0.101852E-06
   559   0.255019E+04   0.940024E+01   0.000000E+00   0.115845E+02   0.163488E-07   0.354400E-05  -0.117142E-06
   560   0.254523E+04   0.957466E+01   0.000000E+00   0.126203E+02   0.163055E-07   0.357127E-05  -0.132402E-06
   561   0.254009E+04   0.975384E+01   0.000000E+00   0.136357E+02   0.162623E-07   0.359933E-05  -0.147629E-06
   562   0.253475E+04   0.993784E+01   0.000000E+00   0.146302E+02   0.162193E-07   0.362818E-05  -0.162821E-06
   563   0.252924E+04   0.101265E+02   0.000000E+00   0.156030E+02   0.161765E-07   0.365779E-05  -0.177975E-06
   564   0.252356E+04   0.103199E+02   0.000000E+00   0.165536E+02   0.161338E-07   0.368815E-05  -0.193090E-06
   565   0.251769E+04   0.105179E+02   0.000000E+00   0.174814E+02   0.160913E-07   0.371927E-05  -0.208163E-06
   566   0.251165E+04   0.107204E+02   0.000000E+00   0.183860E+02   0.160490E-07   0.375112E-05  -0.223193E-06
   567   0.250544E+04   0.109274E+02   0.000000E+00   0.192667E+02   0.160069E-07   0.378370E-05  -0.238176E-06
   568   0.249907E+04   0.111388E+02   0.000000E+00   0.201230E+02   0.159649E-07   0.381700E-05  -0.253111E-06
   569   0.249253E+04   0.113546E+02   0.000000E+00   0.209544E+02   0.159231E-07   0.385101E-05  -0.267996E-06
   570   0.248583E+04   0.115746E+02   0.000000E+00   0.217604E+02   0.158814E-07   0.388571E-05  -0.282828E-06
   571   0.247897E+04   0.117989E+02   0.000000E+00   0.225404E+02   0.158400E-07   0.392109E-05  -0.297604E-06
   572   0.247197E+04   0.120273E+02   0.000000E+00   0.232941E+02   0.157987E-07   0.395715E-05  -0.312324E-06
   573   0.246481E+04   0.122597E+02   0.000000E+00   0.240209E+02   0.157575E-07   0.399387E-05  -0.326985E-06
   574   0.245751E+04   0.124961E+02   0.000000E+00   0.247205E+02   0.157165E-07   0.403125E-05  -0.341583E-06
   575   0.245008E+04   0.127365E+02   0.000000E+00   0.253926E+02   0.156757E-07   0.406927E-05  -0.356119E-06
   576   0.244251E+04   0.129806E+02   0.000000E+00   0.260366E+02   0.156351E-07   0.410793E-05  -0.370588E-06
   577   0.243482E+04   0.132285E+02   0.000000E+00   0.266522E+02   0.155946E-07   0.414720E-05  -0.384989E-06
   578   0.242701E+04   0.134800E+02   0.000000E+00   0.272389E+02   0.155543E-07   0.418709E-05  -0.399319E-06
   579   0.241907E+04   0.137352E+02   0.000000E+00   0.277965E+02   0.155141E-07   0.422759E-05  -0.413577E-06
   580   0.241103E+04   0.139938E+02   0.000000E+00   0.283245E+02   0.154741E-07   0.426867E-05  -0.427760E-06
   581   0.240288E+04   0.142558E+02   0.000000E+00   0.288224E+02   0.154342E-07   0.431033E-05  -0.441867E-06
   582   0.239462E+04   0.145211E+02   0.000000E+00   0.292901E+02   0.153946E-07   0.435257E-05  -0.455894E-06
   583   0.238627E+04   0.147895E+02   0.000000E+00   0.297270E+02   0.153550E-07   0.439536E-05  -0.469839E-06
   584   0.237782E+04   0.150612E+02   0.000000E+00   0.301328E+02   0.153157E-07   0.443870E-05  -0.483701E-06
   585   0.236929E+04   0.153357E+02   0.000000E+00   0.305072E+02   0.152765E-07   0.448259E-05  -0.497477E-06
   586   0.236066E+04   0.156132E+02   0.000000E+00   0.308498E+02   0.152374E-07   0.452700E-05  -0.511165E-06
   587   0.235195E+04   0.158936E+02   0.000000E+00   0.311604E+02   0.151985E-07   0.457193E-05  -0.524763E-06
   588   0.234318E+04   0.161766E+02   0.000000E+00   0.314388E+02   0.151597E-07   0.461737E-05  -0.538268E-06
   589   0.233433E+04   0.164622E+02   0.000000E+00   0.316848E+02   0.151211E-07   0.466330E-05  -0.551679E-06
   590   0.232541E+04   0.167504E+02   0.000000E+00   0.318980E+02   0.150827E-07   0.470973E-05  -0.564993E-06
   591   0.231644E+04   0.170409E+02   0.000000E+00   0.320783E+02   0.150444E-07   0.475663E-05  -0.578207E-06
   592   0.230741E+04   0.173337E+02   0.000000E+00   0.322253E+02   0.150063E-07   0.480399E-05  -0.591321E-06
   593   0.229832E+04   0.176287E+02   0.000000E+00   0.323389E+02   0.149683E-07   0.485181E-05  -0.604331E-06
   594   0.228919E+04   0.179257E+02   0.000000E+00   0.324191E+02   0.149304E-07   0.490008E-05  -0.617235E-06
   595   0.228001E+04   0.182247E+02   0.000000E+00   0.324656E+02   0.148928E-07   0.494878E-05  -0.630031E-06
   596   0.227080E+04   0.185255E+02   0.000000E+00   0.324784E+02   0.148552E-07   0.499790E-05  -0.642717E-06
   597   0.226155E+04   0.188281E+02   0.000000E+00   0.324571E+02   0.148178E-07   0.504744E-05  -0.655291E-06
   598   0.225228E+04   0.191322E+02   0.000000E+00   0.324018E+02   0.147806E-07   0.509739E-05  -0.667750E-06
   599   0.224298E+04   0.194379E+02   0.000000E+00   0.323122E+02   0.147435E-07   0.514772E-05  -0.680093E-06
   600   0.223366E+04   0.197449E+02   0.000000E+00   0.321885E+02   0.147065E-07   0.519844E-05  -0.692317E-06
   601   0.222433E+04   0.200531E+02   0.000000E+00   0.320304E+02   0.146697E-07   0.524953E-05  -0.704419E-06
   602   0.221498E+04   0.203625E+02   0.000000E+00   0.318383E+02   0.146330E-07   0.530099E-05  -0.716400E-06
   603   0.220563E+04   0.206729E+02   0.000000E+00   0.316118E+02   0.145965E-07   0.535279E-05  -0.728259E-06
   604   0.219628E+04   0.209842E+02   0.000000E+00   0.313510E+02   0.145601E-07   0.540494E-05  -0.739994E-06
   605   0.218693E+04   0.212963E+02   0.000000E+00   0.310561E+02   0.145239E-07   0.545741E-05  -0.751606E-06
   606   0.217760E+04   0.216090E+02   0.000000E+00   0.307269E+02   0.144878E-07   0.551020E-05  -0.763093E-06
   607   0.216827E+04   0.219223E+02   0.000000E+00   0.303636E+02   0.144518E-07   0.556331E-05  -0.774455E-06
   608   0.215896E+04   0.222360E+02   0.000000E+00   0.299661E+02   0.144160E-07   0.561671E-05  -0.785692E-06
   609   0.214968E+04   0.225500E+02   0.000000E+00   0.295347E+02   0.143803E-07   0.567040E-05  -0.796802E-06
   610   0.214042E+04   0.228641E+02   0.000000E+00   0.290693E+02   0.143447E-07   0.572436E-05  -0.807785E-06
   611   0.213121E+04   0.231781E+02   0.000000E+00   0.285701E+02   0.143093E-07   0.577859E-05  -0.818641E-06
   612   0.212202E+04   0.234921E+02   0.000000E+00   0.280371E+02   0.142741E-07   0.583308E-05  -0.829368E-06
   613   0.211287E+04   0.238059E+02   0.000000E+00   0.274705E+02   0.142389E-07   0.588782E-05  -0.839966E-06
   614   0.210378E+04   0.241193E+02   0.000000E+00   0.268704E+02   0.142039E-07   0.594278E-05  -0.850435E-06
   615   0.209472E+04   0.244321E+02   0.000000E+00   0.262371E+02   0.141691E-07   0.599798E-05  -0.860774E-06
   616   0.208574E+04   0.247444E+02   0.000000E+00   0.255710E+02   0.141344E-07   0.605338E-05  -0.870981E-06
   617   0.207681E+04   0.250560E+02   0.000000E+00   0.248722E+02   0.140998E-07   0.610899E-05  -0.881058E-06
   618   0.206795E+04   0.253668E+02   0.000000E+00   0.241411E+02   0.140653E-07   0.616479E-05  -0.891002E-06
   619   0.205916E+04   0.256766E+02   0.000000E+00   0.233779E+02   0.140310E-07   0.622077E-05  -0.900813E-06
   620   0.205044E+04   0.259855E+02   0.000000E+00   0.225829E+02   0.139968E-07   0.627693E-05  -0.910491E-06
   621   0.204181E+04   0.262932E+02   0.000000E+00   0.217564E+02   0.139627E-07   0.633324E-05  -0.920034E-06
   622   0.203326E+04   0.265996E+02   0.000000E+00   0.208987E+02   0.139288E-07   0.638971E-05  -0.929444E-06
   623   0.202480E+04   0.269045E+02   0.000000E+00   0.200100E+02   0.138950E-07   0.644631E-05  -0.938717E-06
   624   0.201643E+04   0.272080E+02   0.000000E+00   0.190907E+02   0.138614E-07   0.650305E-05  -0.947855E-06
   625   0.200815E+04   0.275098E+02   0.000000E+00   0.181410E+02   0.138278E-07   0.655990E-05  -0.956855E-06
   626   0.199998E+04   0.278097E+02   0.000000E+00   0.171613E+02   0.137944E-07   0.661686E-05  -0.965719E-06
   627   0.199191E+04   0.281077E+02   0.000000E+00   0.161518E+02   0.137611E-07   0.667391E-05  -0.974444E-06
   628   0.198396E+04   0.284036E+02   0.000000E+00   0.151129E+02   0.137280E-07   0.673106E-05  -0.983031E-06
   629   0.197611E+04   0.286974E+02   0.000000E+00   0.140451E+02   0.136950E-07   0.678828E-05  -0.991479E-06
   630   0.196838E+04   0.289889E+02   0.000000E+00   0.129488E+02   0.136621E-07   0.684556E-05  -0.999787E-06
   631   0.196076E+04   0.292780E+02   0.000000E+00   0.118244E+02   0.136293E-07   0.690290E-05  -0.100795E-05
   632   0.195327E+04   0.295645E+02   0.000000E+00   0.106723E+02   0.135966E-07   0.696028E-05  -0.101598E-05
   633   0.194591E+04   0.298484E+02   0.000000E+00   0.949283E+01   0.135641E-07   0.701770E-05  -0.102386E-05
   634   0.193868E+04   0.301295E+02   0.000000E+00   0.828658E+01   0.135317E-07   0.707514E-05  -0.103161E-05
   635   0.193158E+04   0.304077E+02   0.000000E+00   0.705401E+01   0.134994E-07   0.713259E-05  -0.103920E-05
   636   0.192462E+04   0.306829E+02   0.000000E+00   0.579558E+01   0.134673E-07   0.719005E-05  -0.104666E-05
   637   0.191780E+04   0.309551E+02   0.000000E+00   0.451180E+01   0.134353E-07   0.724750E-05  -0.105397E-05
   638   0.191112E+04   0.312240E+02   0.000000E+00   0.320320E+01   0.134034E-07   0.730492E-05  -0.106113E-05
   639   0.190460E+04   0.314896E+02   0.000000E+00   0.187025E+01   0.133716E-07   0.736232E-05  -0.106815E-05
   640   0.189822E+04   0.317518E+02   0.000000E+00   0.513466E+00   0.133399E-07   0.741968E-05  -0.107503E-05
   641   0.189199E+04   0.320104E+02   0.000000E+00  -0.866629E+00   0.133084E-07   0.747699E-05  -0.108175E-05
   642   0.188592E+04   0.322653E+02   0.000000E+00  -0.226946E+01   0.132769E-07   0.753423E-05  -0.108833E-05
   643   0.188001E+04   0.325165E+02   0.000000E+00  -0.369443E+01   0.132456E-07   0.759141E-05  -0.109476E-05
   644   0.187426E+04   0.327639E+02   0.000000E+00  -0.514094E+01   0.132144E-07   0.764850E-05  -0.110104E-05
   645   0.186867E+04   0.330072E+02   0.000000E+00  -0.660841E+01   0.131834E-07   0.770549E-05  -0.110717E-05
   646   0.186326E+04   0.332463E+02   0.000000E+00  -0.809625E+01   0.131524E-07   0.776239E-05  -0.111315E-05
   647   0.185801E+04   0.334813E+02   0.000000E+00  -0.960379E+01   0.131216E-07   0.781916E-05  -0.111898E-05
   648   0.185293E+04   0.337119E+02   0.000000E+00  -0.111306E+02   0.130908E-07   0.787582E-05  -0.112466E-05
   649   0.184802E+04   0.339381E+02   0.000000E+00  -0.126758E+02   0.130602E-07   0.793234E-05  -0.113019E-05
   650   0.184329E+04   0.341597E+02   0.000000E+00  -0.142389E+02   0.130297E-07   0.798871E-05  -0.113556E-05
   651   0.183874E+04   0.343769E+02   0.000000E+00  -0.158192E+02   0.129993E-07   0.804493E-05  -0.114078E-05
   652   0.183436E+04   0.345894E+02   0.000000E+00  -0.174159E+02   0.129691E-07   0.810098E-05  -0.114585E-05
   653   0.183017E+04   0.347972E+02   0.000000E+00  -0.190286E+02   0.129389E-07   0.815686E-05  -0.115076E-05
   654   0.182617E+04   0.350003E+02   0.000000E+00  -0.206565E+02   0.129089E-07   0.821255E-05  -0.115552E-05
   655   0.182236E+04   0.351985E+02   0.000000E+00  -0.222989E+02   0.128789E-07   0.826806E-05  -0.116013E-05
   656   0.181873E+04   0.353919E+02   0.000000E+00  -0.239551E+02   0.128491E-07   0.832337E-05  -0.116459E-05
   657   0.181529E+04   0.355803E+02   0.000000E+00  -0.256245E+02   0.128194E-07   0.837846E-05  -0.116890E-05
   658   0.181204E+04   0.357636E+02   0.000000E+00  -0.273063E+02   0.127898E-07   0.843335E-05  -0.117306E-05
   659   0.180899E+04   0.359417E+02   0.000000E+00  -0.289998E+02   0.127603E-07   0.848801E-05  -0.117706E-05
   660   0.180613E+04   0.361147E+02   0.000000E+00  -0.307042E+02   0.127309E-07   0.854244E-05  -0.118092E-05
   661   0.180346E+04   0.362823E+02   0.000000E+00  -0.324190E+02   0.127016E-07   0.859662E-05  -0.118463E-05
   662   0.180099E+04   0.364445E+02   0.000000E+00  -0.341433E+02   0.126725E-07   0.865056E-05  -0.118818E-05
   663   0.179872E+04   0.366012E+02   0.000000E+00  -0.358764E+02   0.126434E-07   0.870424E-05  -0.119159E-05
   664   0.179664E+04   0.367524E+02   0.000000E+00  -0.376175E+02   0.126145E-07   0.875765E-05  -0.119485E-05
   665   0.179477E+04   0.368980E+02   0.000000E+00  -0.393659E+02   0.125856E-07   0.881079E-05  -0.119796E-05
   666   0.179309E+04   0.370380E+02   0.000000E+00  -0.411210E+02   0.125569E-07   0.886364E-05  -0.120093E-05
   667   0.179161E+04   0.371723E+02   0.000000E+00  -0.428819E+02   0.125282E-07   0.891621E-05  -0.120375E-05
   668   0.179034E+04   0.373008E+02   0.000000E+00  -0.446478E+02   0.124997E-07   0.896847E-05  -0.120642E-05
   669   0.178926E+04   0.374235E+02   0.000000E+00  -0.464181E+02   0.124713E-07   0.902043E-05  -0.120894E-05
   670   0.178839E+04   0.375403E+02   0.000000E+00  -0.481920E+02   0.124430E-07   0.907206E-05  -0.121132E-05
   671   0.178772E+04   0.376513E+02   0.000000E+00  -0.499687E+02   0.124148E-07   0.912338E-05  -0.121355E-05
   672   0.178725E+04   0.377563E+02   0.000000E+00  -0.517475E+02   0.123866E-07   0.917436E-05  -0.121564E-05
   673   0.178698E+04   0.378553E+02   0.000000E+00  -0.535276E+02   0.123586E-07   0.922499E-05  -0.121759E-05
   674   0.178691E+04   0.379484E+02   0.000000E+00  -0.553084E+02   0.123307E-07   0.927528E-05  -0.121938E-05
   675   0.178705E+04   0.380353E+02   0.000000E+00  -0.570890E+02   0.123029E-07   0.932521E-05  -0.122104E-05
   676   0.178739E+04   0.381161E+02   0.000000E+00  -0.588686E+02   0.122752E-07   0.937477E-05  -0.122255E-05
   677   0.178793E+04   0.381909E+02   0.000000E+00  -0.606465E+02   0.122476E-07   0.942396E-05  -0.122392E-05
   678   0.178867E+04   0.382594E+02   0.000000E+00  -0.624219E+02   0.122201E-07   0.947276E-05  -0.122514E-05
   679   0.178961E+04   0.383216E+02   0.000000E+00  -0.641939E+02   0.121927E-07   0.952116E-05  -0.122623E-05
   680   0.179075E+04   0.383777E+02   0.000000E+00  -0.659618E+02   0.121654E-07   0.956917E-05  -0.122717E-05
   681   0.179209E+04   0.384273E+02   0.000000E+00  -0.677247E+02   0.121382E-07   0.961677E-05  -0.122797E-05
   682   0.179361E+04   0.384706E+02   0.000000E+00  -0.694818E+02   0.121111E-07   0.966395E-05  -0.122862E-05
   683   0.179534E+04   0.385075E+02   0.000000E+00  -0.712324E+02   0.120841E-07   0.971070E-05  -0.122914E-05
   684   0.179727E+04   0.385380E+02   0.000000E+00  -0.729757E+02   0.120571E-07   0.975702E-05  -0.122952E-05
   685   0.179939E+04   0.385621E+02   0.000000E+00  -0.747111E+02   0.120303E-07   0.980289E-05  -0.122975E-05
   686   0.180169E+04   0.385799E+02   0.000000E+00  -0.764375E+02   0.120036E-07   0.984832E-05  -0.122985E-05
   687   0.180420E+04   0.385914E+02   0.000000E+00  -0.781549E+02   0.119770E-07   0.989328E-05  -0.122981E-05
   688   0.180689E+04   0.385966E+02   0.000000E+00  -0.798626E+02   0.119504E-07   0.993777E-05  -0.122963E-05
   689   0.180978E+04   0.385955E+02   0.000000E+00  -0.815592E+02   0.119240E-07   0.998179E-05  -0.122931E-05
   690   0.181285E+04   0.385882E+02   0.000000E+00  -0.832440E+02   0.118977E-07   0.100253E-04  -0.122885E-05
   691   0.181611E+04   0.385746E+02   0.000000E+00  -0.849168E+02   0.118714E-07   0.100684E-04  -0.122825E-05
   692   0.181955E+04   0.385548E+02   0.000000E+00  -0.865770E+02   0.118453E-07   0.101109E-04  -0.122752E-05
   693   0.182318E+04   0.385288E+02   0.000000E+00  -0.882239E+02   0.118192E-07   0.101529E-04  -0.122665E-05
   694   0.182699E+04   0.384965E+02   0.000000E+00  -0.898559E+02   0.117932E-07   0.101944E-04  -0.122565E-05
   695   0.183099E+04   0.384581E+02   0.000000E+00  -0.914730E+02   0.117673E-07   0.102354E-04  -0.122451E-05
   696   0.183514E+04   0.384133E+02   0.000000E+00  -0.930738E+02   0.117415E-07   0.102759E-04  -0.122323E-05
   697   0.183949E+04   0.383624E+02   0.000000E+00  -0.946582E+02   0.117158E-07   0.103157E-04  -0.122181E-05
   698   0.184399E+04   0.383053E+02   0.000000E+00  -0.962248E+02   0.116902E-07   0.103551E-04  -0.122027E-05
   699   0.184868E+04   0.382420E+02   0.000000E+00  -0.977736E+02   0.116647E-07   0.103939E-04  -0.121858E-05
   700   0.185353E+04   0.381727E+02   0.000000E+00  -0.993038E+02   0.116393E-07   0.104321E-04  -0.121677E-05
   701   0.185854E+04   0.380972E+02   0.000000E+00  -0.100815E+03   0.116139E-07   0.104697E-04  -0.121482E-05
   702   0.186371E+04   0.380156E+02   0.000000E+00  -0.102306E+03   0.115887E-07   0.105068E-04  -0.121274E-05
   703   0.186904E+04   0.379281E+02   0.000000E+00  -0.103776E+03   0.115635E-07   0.105433E-04  -0.121052E-05
   704   0.187453E+04   0.378346E+02   0.000000E+00  -0.105225E+03   0.115384E-07   0.105792E-04  -0.120818E-05
   705   0.188017E+04   0.377352E+02   0.000000E+00  -0.106652E+03   0.115135E-07   0.106145E-04  -0.120570E-05
   706   0.188597E+04   0.376300E+02   0.000000E+00  -0.108056E+03   0.114886E-07   0.106492E-04  -0.120309E-05
   707   0.189191E+04   0.375190E+02   0.000000E+00  -0.109437E+03   0.114637E-07   0.106833E-04  -0.120036E-05
   708   0.189799E+04   0.374022E+02   0.000000E+00  -0.110794E+03   0.114390E-07   0.107168E-04  -0.119750E-05
   709   0.190422E+04   0.372798E+02   0.000000E+00  -0.112127E+03   0.114144E-07   0.107498E-04  -0.119451E-05
   710   0.191058E+04   0.371517E+02   0.000000E+00  -0.113435E+03   0.113898E-07   0.107821E-04  -0.119140E-05
   711   0.191708E+04   0.370181E+02   0.000000E+00  -0.114718E+03   0.113653E-07   0.108138E-04  -0.118817E-05
   712   0.192372E+04   0.368789E+02   0.000000E+00  -0.115974E+03   0.113409E-07   0.108449E-04  -0.118481E-05
   713   0.193048E+04   0.367343E+02   0.000000E+00  -0.117204E+03   0.113166E-07   0.108755E-04  -0.118132E-05
   714   0.193736E+04   0.365843E+02   0.000000E+00  -0.118405E+03   0.112924E-07   0.109054E-04  -0.117772E-05
   715   0.194437E+04   0.364290E+02   0.000000E+00  -0.119580E+03   0.112682E-07   0.109347E-04  -0.117399E-05
   716   0.195149E+04   0.362683E+02   0.000000E+00  -0.120726E+03   0.112442E-07   0.109634E-04  -0.117015E-05
   717   0.195873E+04   0.361024E+02   0.000000E+00  -0.121842E+03   0.112202E-07   0.109915E-04  -0.116618E-05
   718   0.196607E+04   0.359312E+02   0.000000E+00  -0.122929E+03   0.111963E-07   0.110189E-04  -0.116210E-05
   719   0.197352E+04   0.357550E+02   0.000000E+00  -0.123985E+03   0.111725E-07   0.110458E-04  -0.115790E-05
   720   0.198108E+04   0.355738E+02   0.000000E+00  -0.125012E+03   0.111488E-07   0.110720E-04  -0.115358E-05
   721   0.198872E+04   0.353877E+02   0.000000E+00  -0.126007E+03   0.111251E-07   0.110976E-04  -0.114915E-05
   722   0.199647E+04   0.351968E+02   0.000000E+00  -0.126972E+03   0.111015E-07   0.111225E-04  -0.114460E-05
   723   0.200431E+04   0.350012E+02   0.000000E+00  -0.127905E+03   0.110780E-07   0.111469E-04  -0.113994E-05
   724   0.201225E+04   0.348012E+02   0.000000E+00  -0.128806E+03   0.110546E-07   0.111706E-04  -0.113517E-05
   725   0.202027E+04   0.345967E+02   0.000000E+00  -0.129674E+03   0.110313E-07   0.111937E-04  -0.113029E-05
   726   0.202837E+04   0.343878E+02   0.000000E+00  -0.130510E+03   0.110080E-07   0.112161E-04  -0.112529E-05
   727   0.203656E+04   0.341747E+02   0.000000E+00  -0.131313E+03   0.109849E-07   0.112379E-04  -0.112019E-05
   728   0.204482E+04   0.339573E+02   0.000000E+00  -0.132084E+03   0.109618E-07   0.112591E-04  -0.111497E-05
   729   0.205315E+04   0.337359E+02   0.000000E+00  -0.132819E+03   0.109387E-07   0.112796E-04  -0.110965E-05
