#    L    TT             EE             BB             TE             PP             TP             EP          
    55   0.152270E+04   0.159924E+00   0.000000E+00  -0.512794E+00   0.131171E-06   0.707097E-03  -0.961267E-06
    56   0.154375E+04   0.169124E+00   0.000000E+00  -0.765042E+00   0.130582E-06   0.694351E-03  -0.937867E-06
    57   0.156511E+04   0.178618E+00   0.000000E+00  -0.103116E+01   0.129983E-06   0.682094E-03  -0.847157E-06
    58   0.158676E+04   0.188404E+00   0.000000E+00  -0.131136E+01   0.129373E-06   0.670272E-03  -0.718096E-06
    59   0.160859E+04   0.198483E+00   0.000000E+00  -0.160555E+01   0.128754E-06   0.658828E-03  -0.579587E-06
    60   0.163059E+04   0.208845E+00   0.000000E+00  -0.191324E+01   0.128126E-06   0.647705E-03  -0.460484E-06
    61   0.165278E+04   0.219485E+00   0.000000E+00  -0.223394E+01   0.127489E-06   0.636852E-03  -0.384379E-06
    62   0.167514E+04   0.230398E+00   0.000000E+00  -0.256767E+01   0.126845E-06   0.626240E-03  -0.353995E-06
    63   0.169771E+04   0.241583E+00   0.000000E+00  -0.291456E+01   0.126195E-06   0.615845E-03  -0.366846E-06
    64   0.172049E+04   0.253037E+00   0.000000E+00  -0.327475E+01   0.125538E-06   0.605640E-03  -0.420453E-06
    65   0.174349E+04   0.264759E+00   0.000000E+00  -0.364841E+01   0.124878E-06   0.595604E-03  -0.512343E-06
    66   0.176677E+04   0.276742E+00   0.000000E+00  -0.403578E+01   0.124214E-06   0.585721E-03  -0.637241E-06
    67   0.179030E+04   0.288980E+00   0.000000E+00  -0.443630E+01   0.123546E-06   0.576027E-03  -0.778648E-06
    68   0.181404E+04   0.301463E+00   0.000000E+00  -0.484927E+01   0.122877E-06   0.566564E-03  -0.917281E-06
    69   0.183795E+04   0.314183E+00   0.000000E+00  -0.527399E+01   0.122205E-06   0.557376E-03  -0.103388E-05
    70   0.186200E+04   0.327134E+00   0.000000E+00  -0.570996E+01   0.121531E-06   0.548509E-03  -0.110922E-05
    71   0.188616E+04   0.340312E+00   0.000000E+00  -0.615700E+01   0.120856E-06   0.539992E-03  -0.112947E-05
    72   0.191055E+04   0.353712E+00   0.000000E+00  -0.661602E+01   0.120180E-06   0.531806E-03  -0.110242E-05
    73   0.193529E+04   0.367330E+00   0.000000E+00  -0.708798E+01   0.119503E-06   0.523916E-03  -0.104124E-05
    74   0.196038E+04   0.381153E+00   0.000000E+00  -0.757278E+01   0.118824E-06   0.516290E-03  -0.959078E-06
    75   0.198583E+04   0.395171E+00   0.000000E+00  -0.806999E+01   0.118144E-06   0.508893E-03  -0.869061E-06
    76   0.201158E+04   0.409369E+00   0.000000E+00  -0.857906E+01   0.117464E-06   0.501693E-03  -0.783029E-06
    77   0.203753E+04   0.423736E+00   0.000000E+00  -0.909854E+01   0.116782E-06   0.494665E-03  -0.707666E-06
    78   0.206364E+04   0.438261E+00   0.000000E+00  -0.962798E+01   0.116100E-06   0.487785E-03  -0.648368E-06
    79   0.208996E+04   0.452931E+00   0.000000E+00  -0.101672E+02   0.115419E-06   0.481029E-03  -0.610527E-06
    80   0.211652E+04   0.467736E+00   0.000000E+00  -0.107162E+02   0.114737E-06   0.474374E-03  -0.599530E-06
    81   0.214333E+04   0.482664E+00   0.000000E+00  -0.112748E+02   0.114057E-06   0.467801E-03  -0.618587E-06
    82   0.217041E+04   0.497705E+00   0.000000E+00  -0.118425E+02   0.113378E-06   0.461318E-03  -0.662221E-06
    83   0.219774E+04   0.512847E+00   0.000000E+00  -0.124190E+02   0.112700E-06   0.454938E-03  -0.722791E-06
    84   0.222532E+04   0.528081E+00   0.000000E+00  -0.130039E+02   0.112024E-06   0.448674E-03  -0.792662E-06
    85   0.225313E+04   0.543394E+00   0.000000E+00  -0.135969E+02   0.111350E-06   0.442540E-03  -0.864206E-06
    86   0.228118E+04   0.558778E+00   0.000000E+00  -0.141974E+02   0.110678E-06   0.436546E-03  -0.930976E-06
    87   0.230943E+04   0.574218E+00   0.000000E+00  -0.148050E+02   0.110009E-06   0.430693E-03  -0.991221E-06
    88   0.233787E+04   0.589702E+00   0.000000E+00  -0.154191E+02   0.109342E-06   0.424980E-03  -0.104437E-05
    89   0.236650E+04   0.605216E+00   0.000000E+00  -0.160392E+02   0.108678E-06   0.419403E-03  -0.108984E-05
    90   0.239533E+04   0.620745E+00   0.000000E+00  -0.166652E+02   0.108017E-06   0.413962E-03  -0.112705E-05
    91   0.242437E+04   0.636274E+00   0.000000E+00  -0.172964E+02   0.107358E-06   0.408653E-03  -0.115566E-05
