#    L    TT             EE             BB             TE          
   395   0.177353E+04   0.215963E+02   0.431602E-01   0.916713E+01
   396   0.176727E+04   0.215932E+02   0.432944E-01   0.724683E+01
   397   0.176142E+04   0.215860E+02   0.434293E-01   0.533332E+01
   398   0.175600E+04   0.215750E+02   0.435648E-01   0.342734E+01
   399   0.175100E+04   0.215599E+02   0.437011E-01   0.152967E+01
   400   0.174641E+04   0.215409E+02   0.438381E-01  -0.358934E+00
   401   0.174224E+04   0.215180E+02   0.439759E-01  -0.223773E+01
   402   0.173848E+04   0.214911E+02   0.441144E-01  -0.410595E+01
   403   0.173513E+04   0.214604E+02   0.442536E-01  -0.596286E+01
   404   0.173219E+04   0.214257E+02   0.443937E-01  -0.780766E+01
   405   0.172964E+04   0.213871E+02   0.445345E-01  -0.963963E+01
   406   0.172749E+04   0.213447E+02   0.446762E-01  -0.114581E+02
   407   0.172573E+04   0.212984E+02   0.448187E-01  -0.132622E+02
   408   0.172436E+04   0.212483E+02   0.449620E-01  -0.150511E+02
   409   0.172336E+04   0.211944E+02   0.451062E-01  -0.168243E+02
   410   0.172275E+04   0.211367E+02   0.452512E-01  -0.185807E+02
   411   0.172250E+04   0.210753E+02   0.453972E-01  -0.203201E+02
   412   0.172261E+04   0.210101E+02   0.455440E-01  -0.220415E+02
   413   0.172310E+04   0.209413E+02   0.456917E-01  -0.237445E+02
   414   0.172393E+04   0.208689E+02   0.458404E-01  -0.254284E+02
   415   0.172512E+04   0.207928E+02   0.459900E-01  -0.270925E+02
   416   0.172665E+04   0.207132E+02   0.461405E-01  -0.287363E+02
   417   0.172853E+04   0.206301E+02   0.462920E-01  -0.303590E+02
   418   0.173074E+04   0.205435E+02   0.464444E-01  -0.319601E+02
   419   0.173328E+04   0.204535E+02   0.465978E-01  -0.335389E+02
   420   0.173616E+04   0.203599E+02   0.467522E-01  -0.350948E+02
   421   0.173935E+04   0.202631E+02   0.469075E-01  -0.366271E+02
   422   0.174286E+04   0.201628E+02   0.470638E-01  -0.381351E+02
   423   0.174669E+04   0.200592E+02   0.472212E-01  -0.396184E+02
   424   0.175083E+04   0.199523E+02   0.473795E-01  -0.410761E+02
   425   0.175526E+04   0.198421E+02   0.475389E-01  -0.425079E+02
   426   0.175999E+04   0.197288E+02   0.476993E-01  -0.439134E+02
   427   0.176499E+04   0.196125E+02   0.478606E-01  -0.452922E+02
   428   0.177028E+04   0.194932E+02   0.480231E-01  -0.466437E+02
   429   0.177584E+04   0.193710E+02   0.481865E-01  -0.479677E+02
   430   0.178165E+04   0.192458E+02   0.483509E-01  -0.492636E+02
   431   0.178773E+04   0.191181E+02   0.485164E-01  -0.505310E+02
   432   0.179405E+04   0.189876E+02   0.486829E-01  -0.517697E+02
   433   0.180063E+04   0.188544E+02   0.488505E-01  -0.529789E+02
   434   0.180743E+04   0.187188E+02   0.490190E-01  -0.541584E+02
   435   0.181448E+04   0.185805E+02   0.491886E-01  -0.553077E+02
   436   0.182176E+04   0.184399E+02   0.493592E-01  -0.564264E+02
   437   0.182926E+04   0.182968E+02   0.495308E-01  -0.575141E+02
   438   0.183697E+04   0.181514E+02   0.497035E-01  -0.585703E+02
   439   0.184491E+04   0.180037E+02   0.498771E-01  -0.595946E+02
   440   0.185304E+04   0.178539E+02   0.500518E-01  -0.605868E+02
   441   0.186137E+04   0.177019E+02   0.502274E-01  -0.615466E+02
   442   0.186988E+04   0.175479E+02   0.504040E-01  -0.624736E+02
   443   0.187857E+04   0.173920E+02   0.505816E-01  -0.633675E+02
   444   0.188743E+04   0.172343E+02   0.507602E-01  -0.642280E+02
   445   0.189644E+04   0.170747E+02   0.509397E-01  -0.650549E+02
   446   0.190561E+04   0.169134E+02   0.511202E-01  -0.658479E+02
   447   0.191491E+04   0.167506E+02   0.513016E-01  -0.666070E+02
   448   0.192437E+04   0.165863E+02   0.514839E-01  -0.673320E+02
   449   0.193397E+04   0.164206E+02   0.516672E-01  -0.680228E+02
   450   0.194369E+04   0.162535E+02   0.518514E-01  -0.686792E+02
   451   0.195354E+04   0.160852E+02   0.520364E-01  -0.693013E+02
   452   0.196352E+04   0.159157E+02   0.522223E-01  -0.698887E+02
   453   0.197361E+04   0.157452E+02   0.524091E-01  -0.704414E+02
   454   0.198381E+04   0.155737E+02   0.525968E-01  -0.709590E+02
   455   0.199410E+04   0.154014E+02   0.527852E-01  -0.714416E+02
   456   0.200447E+04   0.152282E+02   0.529745E-01  -0.718888E+02
   457   0.201492E+04   0.150543E+02   0.531646E-01  -0.723006E+02
   458   0.202543E+04   0.148798E+02   0.533555E-01  -0.726766E+02
   459   0.203600E+04   0.147047E+02   0.535471E-01  -0.730170E+02
   460   0.204662E+04   0.145292E+02   0.537395E-01  -0.733218E+02
   461   0.205728E+04   0.143534E+02   0.539326E-01  -0.735903E+02
   462   0.206800E+04   0.141774E+02   0.541265E-01  -0.738247E+02
   463   0.207874E+04   0.140012E+02   0.543210E-01  -0.740235E+02
   464   0.208953E+04   0.138251E+02   0.545162E-01  -0.741876E+02
   465   0.210035E+04   0.136491E+02   0.547120E-01  -0.743169E+02
   466   0.211119E+04   0.134733E+02   0.549085E-01  -0.744122E+02
   467   0.212206E+04   0.132979E+02   0.551056E-01  -0.744726E+02
   468   0.213293E+04   0.131229E+02   0.553033E-01  -0.744991E+02
   469   0.214381E+04   0.129484E+02   0.555016E-01  -0.744916E+02
   470   0.215468E+04   0.127744E+02   0.557005E-01  -0.744500E+02
   471   0.216552E+04   0.126012E+02   0.558998E-01  -0.743738E+02
   472   0.217635E+04   0.124288E+02   0.560997E-01  -0.742642E+02
   473   0.218713E+04   0.122573E+02   0.563001E-01  -0.741200E+02
   474   0.219787E+04   0.120867E+02   0.565010E-01  -0.739432E+02
   475   0.220857E+04   0.119172E+02   0.567023E-01  -0.737325E+02
   476   0.221922E+04   0.117490E+02   0.569040E-01  -0.734886E+02
   477   0.222982E+04   0.115820E+02   0.571062E-01  -0.732122E+02
   478   0.224036E+04   0.114164E+02   0.573087E-01  -0.729033E+02
   479   0.225085E+04   0.112524E+02   0.575116E-01  -0.725629E+02
   480   0.226126E+04   0.110899E+02   0.577148E-01  -0.721906E+02
   481   0.227162E+04   0.109291E+02   0.579184E-01  -0.717869E+02
   482   0.228188E+04   0.107702E+02   0.581223E-01  -0.713523E+02
   483   0.229207E+04   0.106131E+02   0.583264E-01  -0.708871E+02
   484   0.230215E+04   0.104580E+02   0.585307E-01  -0.703916E+02
   485   0.231213E+04   0.103050E+02   0.587353E-01  -0.698662E+02
   486   0.232200E+04   0.101541E+02   0.589401E-01  -0.693113E+02
   487   0.233176E+04   0.100055E+02   0.591451E-01  -0.687273E+02
   488   0.234139E+04   0.985937E+01   0.593502E-01  -0.681145E+02
   489   0.235090E+04   0.971558E+01   0.595554E-01  -0.674735E+02
   490   0.236028E+04   0.957437E+01   0.597608E-01  -0.668049E+02
   491   0.236953E+04   0.943582E+01   0.599662E-01  -0.661091E+02
   492   0.237865E+04   0.929993E+01   0.601717E-01  -0.653866E+02
   493   0.238763E+04   0.916684E+01   0.603771E-01  -0.646379E+02
   494   0.239648E+04   0.903670E+01   0.605826E-01  -0.638635E+02
   495   0.240517E+04   0.890958E+01   0.607881E-01  -0.630640E+02
   496   0.241373E+04   0.878547E+01   0.609935E-01  -0.622398E+02
   497   0.242212E+04   0.866452E+01   0.611988E-01  -0.613914E+02
   498   0.243035E+04   0.854680E+01   0.614040E-01  -0.605196E+02
   499   0.243841E+04   0.843238E+01   0.616090E-01  -0.596247E+02
   500   0.244630E+04   0.832141E+01   0.618139E-01  -0.587073E+02
   501   0.245400E+04   0.821388E+01   0.620186E-01  -0.577679E+02
   502   0.246152E+04   0.810993E+01   0.622231E-01  -0.568073E+02
   503   0.246886E+04   0.800958E+01   0.624273E-01  -0.558260E+02
   504   0.247600E+04   0.791302E+01   0.626312E-01  -0.548247E+02
   505   0.248296E+04   0.782020E+01   0.628348E-01  -0.538043E+02
   506   0.248972E+04   0.773124E+01   0.630381E-01  -0.527651E+02
   507   0.249630E+04   0.764624E+01   0.632410E-01  -0.517081E+02
   508   0.250268E+04   0.756527E+01   0.634435E-01  -0.506338E+02
   509   0.250885E+04   0.748838E+01   0.636456E-01  -0.495429E+02
   510   0.251484E+04   0.741564E+01   0.638472E-01  -0.484362E+02
   511   0.252061E+04   0.734710E+01   0.640483E-01  -0.473143E+02
   512   0.252619E+04   0.728282E+01   0.642490E-01  -0.461778E+02
   513   0.253156E+04   0.722287E+01   0.644490E-01  -0.450275E+02
   514   0.253672E+04   0.716730E+01   0.646485E-01  -0.438640E+02
   515   0.254167E+04   0.711617E+01   0.648474E-01  -0.426880E+02
   516   0.254641E+04   0.706954E+01   0.650457E-01  -0.415003E+02
   517   0.255093E+04   0.702745E+01   0.652432E-01  -0.403016E+02
   518   0.255523E+04   0.698996E+01   0.654401E-01  -0.390925E+02
   519   0.255931E+04   0.695711E+01   0.656363E-01  -0.378738E+02
   520   0.256316E+04   0.692895E+01   0.658317E-01  -0.366462E+02
   521   0.256679E+04   0.690555E+01   0.660263E-01  -0.354105E+02
   522   0.257018E+04   0.688693E+01   0.662202E-01  -0.341673E+02
   523   0.257334E+04   0.687315E+01   0.664132E-01  -0.329174E+02
   524   0.257627E+04   0.686422E+01   0.666053E-01  -0.316615E+02
   525   0.257896E+04   0.686018E+01   0.667965E-01  -0.304003E+02
   526   0.258143E+04   0.686107E+01   0.669868E-01  -0.291345E+02
   527   0.258367E+04   0.686690E+01   0.671762E-01  -0.278648E+02
   528   0.258568E+04   0.687772E+01   0.673646E-01  -0.265921E+02
   529   0.258746E+04   0.689355E+01   0.675520E-01  -0.253169E+02
   530   0.258901E+04   0.691440E+01   0.677384E-01  -0.240402E+02
   531   0.259033E+04   0.694032E+01   0.679238E-01  -0.227625E+02
   532   0.259143E+04   0.697129E+01   0.681080E-01  -0.214849E+02
   533   0.259229E+04   0.700735E+01   0.682912E-01  -0.202079E+02
   534   0.259292E+04   0.704851E+01   0.684733E-01  -0.189325E+02
   535   0.259333E+04   0.709481E+01   0.686542E-01  -0.176593E+02
   536   0.259349E+04   0.714624E+01   0.688340E-01  -0.163892E+02
   537   0.259344E+04   0.720280E+01   0.690126E-01  -0.151229E+02
   538   0.259316E+04   0.726452E+01   0.691900E-01  -0.138610E+02
   539   0.259265E+04   0.733139E+01   0.693662E-01  -0.126045E+02
   540   0.259191E+04   0.740340E+01   0.695411E-01  -0.113539E+02
   541   0.259095E+04   0.748057E+01   0.697148E-01  -0.101099E+02
   542   0.258977E+04   0.756289E+01   0.698872E-01  -0.887345E+01
   543   0.258836E+04   0.765036E+01   0.700583E-01  -0.764509E+01
   544   0.258674E+04   0.774297E+01   0.702281E-01  -0.642557E+01
   545   0.258490E+04   0.784070E+01   0.703966E-01  -0.521553E+01
   546   0.258284E+04   0.794355E+01   0.705637E-01  -0.401564E+01
   547   0.258056E+04   0.805149E+01   0.707295E-01  -0.282658E+01
   548   0.257807E+04   0.816443E+01   0.708939E-01  -0.164901E+01
   549   0.257537E+04   0.828254E+01   0.710569E-01  -0.483598E+00
   550   0.257245E+04   0.840559E+01   0.712186E-01   0.668984E+00
   551   0.256933E+04   0.853371E+01   0.713788E-01   0.180805E+01
   552   0.256600E+04   0.866677E+01   0.715376E-01   0.293290E+01
   553   0.256247E+04   0.880475E+01   0.716950E-01   0.404286E+01
   554   0.255874E+04   0.894767E+01   0.718509E-01   0.513724E+01
   555   0.255482E+04   0.909543E+01   0.720054E-01   0.621534E+01
   556   0.255069E+04   0.924805E+01   0.721584E-01   0.727647E+01
   557   0.254639E+04   0.940545E+01   0.723100E-01   0.832002E+01
   558   0.254190E+04   0.956763E+01   0.724600E-01   0.934527E+01
   559   0.253722E+04   0.973450E+01   0.726086E-01   0.103517E+02
   560   0.253235E+04   0.990607E+01   0.727557E-01   0.113387E+02
   561   0.252732E+04   0.100822E+02   0.729013E-01   0.123057E+02
   562   0.252210E+04   0.102629E+02   0.730454E-01   0.132521E+02
   563   0.251671E+04   0.104482E+02   0.731880E-01   0.141773E+02
   564   0.251116E+04   0.106379E+02   0.733291E-01   0.150807E+02
   565   0.250542E+04   0.108320E+02   0.734686E-01   0.159618E+02
   566   0.249953E+04   0.110305E+02   0.736066E-01   0.168202E+02
   567   0.249348E+04   0.112332E+02   0.737431E-01   0.176552E+02
   568   0.248727E+04   0.114401E+02   0.738781E-01   0.184663E+02
   569   0.248090E+04   0.116512E+02   0.740115E-01   0.192532E+02
   570   0.247437E+04   0.118663E+02   0.741434E-01   0.200153E+02
   571   0.246769E+04   0.120855E+02   0.742737E-01   0.207520E+02
   572   0.246088E+04   0.123086E+02   0.744025E-01   0.214631E+02
   573   0.245392E+04   0.125355E+02   0.745298E-01   0.221481E+02
   574   0.244682E+04   0.127662E+02   0.746555E-01   0.228065E+02
   575   0.243960E+04   0.130007E+02   0.747797E-01   0.234382E+02
   576   0.243225E+04   0.132387E+02   0.749023E-01   0.240426E+02
   577   0.242479E+04   0.134803E+02   0.750234E-01   0.246194E+02
   578   0.241720E+04   0.137253E+02   0.751429E-01   0.251681E+02
   579   0.240950E+04   0.139738E+02   0.752610E-01   0.256886E+02
   580   0.240170E+04   0.142255E+02   0.753774E-01   0.261804E+02
   581   0.239380E+04   0.144804E+02   0.754924E-01   0.266431E+02
   582   0.238581E+04   0.147384E+02   0.756058E-01   0.270764E+02
   583   0.237771E+04   0.149994E+02   0.757176E-01   0.274799E+02
   584   0.236953E+04   0.152634E+02   0.758280E-01   0.278534E+02
   585   0.236127E+04   0.155301E+02   0.759369E-01   0.281964E+02
   586   0.235292E+04   0.157996E+02   0.760442E-01   0.285087E+02
   587   0.234450E+04   0.160717E+02   0.761500E-01   0.287901E+02
   588   0.233602E+04   0.163463E+02   0.762544E-01   0.290404E+02
   589   0.232746E+04   0.166234E+02   0.763572E-01   0.292593E+02
   590   0.231885E+04   0.169028E+02   0.764586E-01   0.294466E+02
   591   0.231018E+04   0.171844E+02   0.765585E-01   0.296022E+02
   592   0.230146E+04   0.174681E+02   0.766569E-01   0.297257E+02
   593   0.229269E+04   0.177539E+02   0.767539E-01   0.298170E+02
   594   0.228387E+04   0.180415E+02   0.768495E-01   0.298761E+02
   595   0.227502E+04   0.183309E+02   0.769436E-01   0.299027E+02
   596   0.226614E+04   0.186220E+02   0.770363E-01   0.298969E+02
   597   0.225722E+04   0.189147E+02   0.771276E-01   0.298583E+02
   598   0.224828E+04   0.192088E+02   0.772175E-01   0.297870E+02
   599   0.223932E+04   0.195042E+02   0.773061E-01   0.296827E+02
   600   0.223035E+04   0.198009E+02   0.773933E-01   0.295456E+02
   601   0.222136E+04   0.200987E+02   0.774791E-01   0.293756E+02
   602   0.221236E+04   0.203975E+02   0.775636E-01   0.291728E+02
   603   0.220337E+04   0.206972E+02   0.776468E-01   0.289371E+02
   604   0.219438E+04   0.209976E+02   0.777287E-01   0.286686E+02
   605   0.218538E+04   0.212987E+02   0.778094E-01   0.283672E+02
   606   0.217641E+04   0.216003E+02   0.778888E-01   0.280331E+02
   607   0.216744E+04   0.219024E+02   0.779669E-01   0.276662E+02
   608   0.215850E+04   0.222047E+02   0.780439E-01   0.272667E+02
   609   0.214959E+04   0.225072E+02   0.781197E-01   0.268347E+02
   610   0.214070E+04   0.228098E+02   0.781942E-01   0.263703E+02
   611   0.213185E+04   0.231122E+02   0.782677E-01   0.258735E+02
   612   0.212304E+04   0.234144E+02   0.783400E-01   0.253444E+02
   613   0.211426E+04   0.237164E+02   0.784112E-01   0.247832E+02
   614   0.210554E+04   0.240178E+02   0.784814E-01   0.241901E+02
   615   0.209686E+04   0.243187E+02   0.785505E-01   0.235653E+02
   616   0.208825E+04   0.246189E+02   0.786185E-01   0.229093E+02
   617   0.207969E+04   0.249184E+02   0.786856E-01   0.222221E+02
   618   0.207121E+04   0.252170E+02   0.787517E-01   0.215041E+02
   619   0.206279E+04   0.255146E+02   0.788168E-01   0.207557E+02
   620   0.205444E+04   0.258111E+02   0.788811E-01   0.199770E+02
   621   0.204618E+04   0.261065E+02   0.789444E-01   0.191683E+02
   622   0.203800E+04   0.264004E+02   0.790069E-01   0.183299E+02
   623   0.202990E+04   0.266929E+02   0.790685E-01   0.174623E+02
   624   0.202190E+04   0.269839E+02   0.791293E-01   0.165656E+02
   625   0.201399E+04   0.272732E+02   0.791893E-01   0.156400E+02
   626   0.200619E+04   0.275606E+02   0.792486E-01   0.146860E+02
   627   0.199847E+04   0.278461E+02   0.793071E-01   0.137038E+02
   628   0.199088E+04   0.281294E+02   0.793650E-01   0.126938E+02
   629   0.198338E+04   0.284107E+02   0.794221E-01   0.116565E+02
   630   0.197601E+04   0.286897E+02   0.794787E-01   0.105922E+02
   631   0.196874E+04   0.289661E+02   0.795346E-01   0.950129E+01
   632   0.196159E+04   0.292402E+02   0.795899E-01   0.838433E+01
   633   0.195458E+04   0.295116E+02   0.796447E-01   0.724159E+01
   634   0.194768E+04   0.297802E+02   0.796990E-01   0.607359E+01
   635   0.194092E+04   0.300460E+02   0.797527E-01   0.488080E+01
   636   0.193429E+04   0.303088E+02   0.798060E-01   0.366369E+01
   637   0.192779E+04   0.305685E+02   0.798589E-01   0.242276E+01
   638   0.192144E+04   0.308251E+02   0.799114E-01   0.115852E+01
   639   0.191522E+04   0.310785E+02   0.799634E-01  -0.128567E+00
   640   0.190915E+04   0.313284E+02   0.800152E-01  -0.143799E+01
   641   0.190324E+04   0.315749E+02   0.800666E-01  -0.276924E+01
   642   0.189746E+04   0.318178E+02   0.801177E-01  -0.412175E+01
   643   0.189185E+04   0.320570E+02   0.801685E-01  -0.549495E+01
   644   0.188638E+04   0.322925E+02   0.802191E-01  -0.688825E+01
   645   0.188108E+04   0.325240E+02   0.802695E-01  -0.830108E+01
   646   0.187594E+04   0.327515E+02   0.803198E-01  -0.973286E+01
   647   0.187095E+04   0.329748E+02   0.803698E-01  -0.111830E+02
   648   0.186614E+04   0.331939E+02   0.804198E-01  -0.126509E+02
   649   0.186148E+04   0.334087E+02   0.804696E-01  -0.141359E+02
   650   0.185700E+04   0.336191E+02   0.805194E-01  -0.156375E+02
   651   0.185269E+04   0.338252E+02   0.805691E-01  -0.171549E+02
   652   0.184855E+04   0.340267E+02   0.806189E-01  -0.186875E+02
   653   0.184458E+04   0.342237E+02   0.806686E-01  -0.202348E+02
   654   0.184080E+04   0.344161E+02   0.807184E-01  -0.217960E+02
   655   0.183720E+04   0.346038E+02   0.807682E-01  -0.233705E+02
   656   0.183377E+04   0.347868E+02   0.808181E-01  -0.249575E+02
   657   0.183052E+04   0.349649E+02   0.808682E-01  -0.265566E+02
   658   0.182746E+04   0.351382E+02   0.809184E-01  -0.281669E+02
   659   0.182458E+04   0.353065E+02   0.809688E-01  -0.297877E+02
   660   0.182189E+04   0.354698E+02   0.810193E-01  -0.314185E+02
   661   0.181938E+04   0.356279E+02   0.810701E-01  -0.330584E+02
   662   0.181707E+04   0.357807E+02   0.811211E-01  -0.347068E+02
   663   0.181494E+04   0.359284E+02   0.811725E-01  -0.363630E+02
   664   0.181300E+04   0.360707E+02   0.812241E-01  -0.380262E+02
   665   0.181125E+04   0.362076E+02   0.812760E-01  -0.396957E+02
   666   0.180968E+04   0.363391E+02   0.813283E-01  -0.413710E+02
   667   0.180831E+04   0.364651E+02   0.813809E-01  -0.430511E+02
   668   0.180713E+04   0.365856E+02   0.814340E-01  -0.447354E+02
   669   0.180614E+04   0.367005E+02   0.814875E-01  -0.464233E+02
   670   0.180534E+04   0.368098E+02   0.815414E-01  -0.481139E+02
   671   0.180474E+04   0.369135E+02   0.815958E-01  -0.498065E+02
   672   0.180433E+04   0.370114E+02   0.816507E-01  -0.515005E+02
   673   0.180410E+04   0.371036E+02   0.817061E-01  -0.531951E+02
   674   0.180407E+04   0.371901E+02   0.817620E-01  -0.548897E+02
   675   0.180423E+04   0.372707E+02   0.818185E-01  -0.565834E+02
   676   0.180459E+04   0.373455E+02   0.818756E-01  -0.582755E+02
   677   0.180513E+04   0.374145E+02   0.819333E-01  -0.599655E+02
   678   0.180586E+04   0.374775E+02   0.819917E-01  -0.616523E+02
   679   0.180679E+04   0.375346E+02   0.820507E-01  -0.633352E+02
   680   0.180790E+04   0.375857E+02   0.821103E-01  -0.650137E+02
   681   0.180920E+04   0.376307E+02   0.821707E-01  -0.666866E+02
   682   0.181068E+04   0.376697E+02   0.822318E-01  -0.683534E+02
   683   0.181235E+04   0.377025E+02   0.822936E-01  -0.700133E+02
   684   0.181421E+04   0.377292E+02   0.823562E-01  -0.716657E+02
   685   0.181624E+04   0.377499E+02   0.824195E-01  -0.733099E+02
   686   0.181846E+04   0.377645E+02   0.824837E-01  -0.749447E+02
   687   0.182086E+04   0.377732E+02   0.825486E-01  -0.765705E+02
   688   0.182344E+04   0.377758E+02   0.826144E-01  -0.781865E+02
   689   0.182620E+04   0.377725E+02   0.826811E-01  -0.797912E+02
   690   0.182913E+04   0.377633E+02   0.827486E-01  -0.813840E+02
   691   0.183224E+04   0.377482E+02   0.828170E-01  -0.829649E+02
   692   0.183553E+04   0.377271E+02   0.828863E-01  -0.845331E+02
   693   0.183899E+04   0.377001E+02   0.829565E-01  -0.860881E+02
   694   0.184262E+04   0.376673E+02   0.830277E-01  -0.876283E+02
   695   0.184642E+04   0.376286E+02   0.830997E-01  -0.891538E+02
   696   0.185037E+04   0.375838E+02   0.831728E-01  -0.906631E+02
   697   0.185450E+04   0.375334E+02   0.832468E-01  -0.921564E+02
   698   0.185878E+04   0.374770E+02   0.833218E-01  -0.936321E+02
   699   0.186323E+04   0.374148E+02   0.833978E-01  -0.950902E+02
   700   0.186783E+04   0.373468E+02   0.834748E-01  -0.965302E+02
   701   0.187258E+04   0.372731E+02   0.835528E-01  -0.979512E+02
   702   0.187747E+04   0.371936E+02   0.836319E-01  -0.993526E+02
   703   0.188252E+04   0.371086E+02   0.837119E-01  -0.100735E+03
   704   0.188773E+04   0.370178E+02   0.837930E-01  -0.102095E+03
   705   0.189306E+04   0.369216E+02   0.838752E-01  -0.103434E+03
   706   0.189854E+04   0.368198E+02   0.839584E-01  -0.104750E+03
   707   0.190416E+04   0.367126E+02   0.840427E-01  -0.106045E+03
   708   0.190990E+04   0.365999E+02   0.841280E-01  -0.107317E+03
   709   0.191579E+04   0.364820E+02   0.842144E-01  -0.108564E+03
   710   0.192179E+04   0.363588E+02   0.843019E-01  -0.109788E+03
   711   0.192792E+04   0.362303E+02   0.843904E-01  -0.110988E+03
   712   0.193418E+04   0.360967E+02   0.844800E-01  -0.112161E+03
   713   0.194055E+04   0.359580E+02   0.845707E-01  -0.113309E+03
   714   0.194704E+04   0.358142E+02   0.846625E-01  -0.114430E+03
   715   0.195364E+04   0.356655E+02   0.847553E-01  -0.115524E+03
   716   0.196035E+04   0.355117E+02   0.848492E-01  -0.116592E+03
   717   0.196715E+04   0.353530E+02   0.849442E-01  -0.117631E+03
   718   0.197406E+04   0.351894E+02   0.850403E-01  -0.118641E+03
   719   0.198106E+04   0.350212E+02   0.851374E-01  -0.119622E+03
   720   0.198816E+04   0.348482E+02   0.852355E-01  -0.120574E+03
   721   0.199535E+04   0.346707E+02   0.853347E-01  -0.121497E+03
   722   0.200262E+04   0.344887E+02   0.854350E-01  -0.122389E+03
   723   0.200998E+04   0.343024E+02   0.855363E-01  -0.123252E+03
   724   0.201742E+04   0.341119E+02   0.856387E-01  -0.124084E+03
   725   0.202494E+04   0.339173E+02   0.857420E-01  -0.124885E+03
   726   0.203254E+04   0.337186E+02   0.858464E-01  -0.125655E+03
   727   0.204021E+04   0.335161E+02   0.859518E-01  -0.126393E+03
   728   0.204795E+04   0.333095E+02   0.860582E-01  -0.127100E+03
   729   0.205575E+04   0.330993E+02   0.861656E-01  -0.127774E+03
   730   0.206361E+04   0.328854E+02   0.862739E-01  -0.128416E+03
   731   0.207154E+04   0.326678E+02   0.863832E-01  -0.129025E+03
   732   0.207950E+04   0.324467E+02   0.864935E-01  -0.129601E+03
   733   0.208752E+04   0.322222E+02   0.866047E-01  -0.130143E+03
   734   0.209559E+04   0.319944E+02   0.867169E-01  -0.130650E+03
   735   0.210369E+04   0.317634E+02   0.868300E-01  -0.131124E+03
   736   0.211183E+04   0.315293E+02   0.869439E-01  -0.131564E+03
   737   0.212000E+04   0.312922E+02   0.870588E-01  -0.131969E+03
   738   0.212820E+04   0.310522E+02   0.871745E-01  -0.132340E+03
   739   0.213642E+04   0.308095E+02   0.872911E-01  -0.132675E+03
   740   0.214466E+04   0.305641E+02   0.874086E-01  -0.132974E+03
   741   0.215291E+04   0.303162E+02   0.875268E-01  -0.133239E+03
   742   0.216117E+04   0.300659E+02   0.876459E-01  -0.133468E+03
   743   0.216944E+04   0.298133E+02   0.877658E-01  -0.133662E+03
   744   0.217771E+04   0.295586E+02   0.878865E-01  -0.133819E+03
   745   0.218597E+04   0.293019E+02   0.880079E-01  -0.133941E+03
   746   0.219422E+04   0.290433E+02   0.881300E-01  -0.134028E+03
   747   0.220246E+04   0.287829E+02   0.882529E-01  -0.134078E+03
   748   0.221069E+04   0.285208E+02   0.883765E-01  -0.134093E+03
   749   0.221889E+04   0.282571E+02   0.885008E-01  -0.134072E+03
   750   0.222707E+04   0.279920E+02   0.886257E-01  -0.134015E+03
   751   0.223522E+04   0.277255E+02   0.887513E-01  -0.133921E+03
   752   0.224333E+04   0.274578E+02   0.888776E-01  -0.133791E+03
   753   0.225141E+04   0.271889E+02   0.890044E-01  -0.133626E+03
   754   0.225944E+04   0.269191E+02   0.891318E-01  -0.133425E+03
   755   0.226744E+04   0.266484E+02   0.892598E-01  -0.133188E+03
   756   0.227537E+04   0.263770E+02   0.893883E-01  -0.132916E+03
   757   0.228328E+04   0.261051E+02   0.895173E-01  -0.132608E+03
   758   0.229112E+04   0.258327E+02   0.896469E-01  -0.132265E+03
   759   0.229892E+04   0.255601E+02   0.897769E-01  -0.131888E+03
   760   0.230666E+04   0.252873E+02   0.899074E-01  -0.131475E+03
   761   0.231433E+04   0.250144E+02   0.900383E-01  -0.131027E+03
   762   0.232194E+04   0.247416E+02   0.901696E-01  -0.130545E+03
   763   0.232948E+04   0.244690E+02   0.903013E-01  -0.130029E+03
   764   0.233695E+04   0.241966E+02   0.904333E-01  -0.129477E+03
   765   0.234433E+04   0.239247E+02   0.905657E-01  -0.128891E+03
   766   0.235163E+04   0.236534E+02   0.906984E-01  -0.128270E+03
   767   0.235884E+04   0.233825E+02   0.908314E-01  -0.127615E+03
   768   0.236596E+04   0.231125E+02   0.909646E-01  -0.126924E+03
   769   0.237296E+04   0.228434E+02   0.910980E-01  -0.126201E+03
   770   0.237988E+04   0.225753E+02   0.912317E-01  -0.125444E+03
   771   0.238669E+04   0.223084E+02   0.913655E-01  -0.124654E+03
   772   0.239338E+04   0.220429E+02   0.914994E-01  -0.123830E+03
   773   0.239996E+04   0.217788E+02   0.916335E-01  -0.122975E+03
   774   0.240642E+04   0.215162E+02   0.917677E-01  -0.122088E+03
   775   0.241275E+04   0.212554E+02   0.919019E-01  -0.121169E+03
   776   0.241897E+04   0.209965E+02   0.920362E-01  -0.120220E+03
   777   0.242507E+04   0.207394E+02   0.921705E-01  -0.119240E+03
   778   0.243105E+04   0.204844E+02   0.923047E-01  -0.118230E+03
   779   0.243691E+04   0.202316E+02   0.924389E-01  -0.117190E+03
   780   0.244263E+04   0.199810E+02   0.925730E-01  -0.116121E+03
   781   0.244824E+04   0.197328E+02   0.927070E-01  -0.115024E+03
   782   0.245371E+04   0.194871E+02   0.928408E-01  -0.113899E+03
   783   0.245905E+04   0.192440E+02   0.929744E-01  -0.112744E+03
   784   0.246425E+04   0.190036E+02   0.931079E-01  -0.111563E+03
   785   0.246930E+04   0.187659E+02   0.932411E-01  -0.110353E+03
