#    L    TT             EE             BB             TE          
   185   0.535052E+04   0.776755E+00   0.118194E-01  -0.315903E+02
   186   0.537087E+04   0.767508E+00   0.119621E-01  -0.306892E+02
   187   0.539073E+04   0.758595E+00   0.121059E-01  -0.297618E+02
   188   0.541007E+04   0.750055E+00   0.122505E-01  -0.288084E+02
   189   0.542890E+04   0.741921E+00   0.123960E-01  -0.278292E+02
   190   0.544720E+04   0.734226E+00   0.125425E-01  -0.268244E+02
   191   0.546497E+04   0.727001E+00   0.126898E-01  -0.257943E+02
   192   0.548220E+04   0.720283E+00   0.128380E-01  -0.247391E+02
   193   0.549889E+04   0.714104E+00   0.129871E-01  -0.236591E+02
   194   0.551503E+04   0.708499E+00   0.131370E-01  -0.225546E+02
   195   0.553061E+04   0.703505E+00   0.132878E-01  -0.214260E+02
   196   0.554564E+04   0.699156E+00   0.134395E-01  -0.202736E+02
   197   0.556011E+04   0.695491E+00   0.135919E-01  -0.190978E+02
   198   0.557403E+04   0.692543E+00   0.137452E-01  -0.178989E+02
   199   0.558737E+04   0.690349E+00   0.138993E-01  -0.166773E+02
   200   0.560014E+04   0.688945E+00   0.140541E-01  -0.154335E+02
   201   0.561235E+04   0.688368E+00   0.142098E-01  -0.141677E+02
   202   0.562396E+04   0.688653E+00   0.143662E-01  -0.128805E+02
   203   0.563498E+04   0.689837E+00   0.145234E-01  -0.115722E+02
   204   0.564539E+04   0.691957E+00   0.146814E-01  -0.102431E+02
   205   0.565518E+04   0.695050E+00   0.148400E-01  -0.889394E+01
   206   0.566434E+04   0.699150E+00   0.149994E-01  -0.752490E+01
   207   0.567287E+04   0.704296E+00   0.151596E-01  -0.613643E+01
   208   0.568076E+04   0.710523E+00   0.153204E-01  -0.472911E+01
   209   0.568803E+04   0.717867E+00   0.154819E-01  -0.330350E+01
   210   0.569467E+04   0.726366E+00   0.156440E-01  -0.186014E+01
   211   0.570070E+04   0.736056E+00   0.158069E-01  -0.399582E+00
   212   0.570612E+04   0.746972E+00   0.159703E-01   0.107760E+01
   213   0.571093E+04   0.759151E+00   0.161344E-01   0.257086E+01
   214   0.571514E+04   0.772631E+00   0.162992E-01   0.407964E+01
   215   0.571876E+04   0.787441E+00   0.164645E-01   0.560335E+01
   216   0.572176E+04   0.803625E+00   0.166304E-01   0.714139E+01
   217   0.572414E+04   0.821214E+00   0.167969E-01   0.869315E+01
   218   0.572592E+04   0.840235E+00   0.169639E-01   0.102581E+02
   219   0.572707E+04   0.860734E+00   0.171315E-01   0.118356E+02
   220   0.572760E+04   0.882740E+00   0.172996E-01   0.134251E+02
   221   0.572750E+04   0.906282E+00   0.174682E-01   0.150259E+02
   222   0.572677E+04   0.931405E+00   0.176373E-01   0.166375E+02
   223   0.572541E+04   0.958129E+00   0.178069E-01   0.182590E+02
   224   0.572343E+04   0.986493E+00   0.179770E-01   0.198901E+02
   225   0.572083E+04   0.101652E+01   0.181475E-01   0.215298E+02
   226   0.571760E+04   0.104825E+01   0.183184E-01   0.231777E+02
   227   0.571375E+04   0.108171E+01   0.184897E-01   0.248330E+02
   228   0.570928E+04   0.111693E+01   0.186614E-01   0.264950E+02
   229   0.570420E+04   0.115394E+01   0.188334E-01   0.281630E+02
   230   0.569849E+04   0.119277E+01   0.190059E-01   0.298365E+02
   231   0.569217E+04   0.123344E+01   0.191786E-01   0.315147E+02
   232   0.568525E+04   0.127599E+01   0.193517E-01   0.331968E+02
   233   0.567771E+04   0.132043E+01   0.195250E-01   0.348822E+02
   234   0.566956E+04   0.136680E+01   0.196986E-01   0.365700E+02
   235   0.566081E+04   0.141512E+01   0.198725E-01   0.382599E+02
   236   0.565145E+04   0.146542E+01   0.200465E-01   0.399508E+02
   237   0.564149E+04   0.151772E+01   0.202208E-01   0.416420E+02
   238   0.563094E+04   0.157203E+01   0.203953E-01   0.433330E+02
   239   0.561980E+04   0.162837E+01   0.205699E-01   0.450229E+02
   240   0.560807E+04   0.168678E+01   0.207447E-01   0.467109E+02
   241   0.559574E+04   0.174728E+01   0.209196E-01   0.483965E+02
   242   0.558284E+04   0.180987E+01   0.210946E-01   0.500787E+02
   243   0.556936E+04   0.187459E+01   0.212697E-01   0.517569E+02
   244   0.555531E+04   0.194143E+01   0.214448E-01   0.534303E+02
   245   0.554069E+04   0.201044E+01   0.216200E-01   0.550983E+02
   246   0.552553E+04   0.208159E+01   0.217952E-01   0.567602E+02
   247   0.550980E+04   0.215494E+01   0.219704E-01   0.584152E+02
   248   0.549353E+04   0.223048E+01   0.221455E-01   0.600625E+02
   249   0.547671E+04   0.230821E+01   0.223206E-01   0.617015E+02
   250   0.545937E+04   0.238818E+01   0.224956E-01   0.633314E+02
   251   0.544148E+04   0.247036E+01   0.226706E-01   0.649513E+02
   252   0.542307E+04   0.255477E+01   0.228454E-01   0.665606E+02
   253   0.540412E+04   0.264141E+01   0.230200E-01   0.681585E+02
   254   0.538466E+04   0.273030E+01   0.231945E-01   0.697440E+02
   255   0.536466E+04   0.282143E+01   0.233689E-01   0.713165E+02
   256   0.534415E+04   0.291481E+01   0.235430E-01   0.728752E+02
   257   0.532313E+04   0.301044E+01   0.237169E-01   0.744195E+02
   258   0.530162E+04   0.310832E+01   0.238906E-01   0.759483E+02
   259   0.527962E+04   0.320846E+01   0.240640E-01   0.774622E+02
   260   0.525716E+04   0.331085E+01   0.242372E-01   0.789589E+02
   261   0.523423E+04   0.341549E+01   0.244100E-01   0.804391E+02
   262   0.521086E+04   0.352238E+01   0.245826E-01   0.819014E+02
   263   0.518706E+04   0.363152E+01   0.247548E-01   0.833458E+02
   264   0.516284E+04   0.374290E+01   0.249266E-01   0.847708E+02
   265   0.513818E+04   0.385651E+01   0.250981E-01   0.861771E+02
   266   0.511311E+04   0.397233E+01   0.252693E-01   0.875626E+02
   267   0.508763E+04   0.409036E+01   0.254400E-01   0.889264E+02
   268   0.506175E+04   0.421058E+01   0.256103E-01   0.902694E+02
   269   0.503547E+04   0.433299E+01   0.257802E-01   0.915894E+02
   270   0.500879E+04   0.445757E+01   0.259496E-01   0.928870E+02
   271   0.498174E+04   0.458430E+01   0.261186E-01   0.941600E+02
   272   0.495430E+04   0.471317E+01   0.262872E-01   0.954093E+02
   273   0.492651E+04   0.484415E+01   0.264552E-01   0.966333E+02
   274   0.489837E+04   0.497723E+01   0.266227E-01   0.978328E+02
   275   0.486988E+04   0.511238E+01   0.267898E-01   0.990056E+02
   276   0.484107E+04   0.524959E+01   0.269563E-01   0.100152E+03
   277   0.481193E+04   0.538883E+01   0.271223E-01   0.101272E+03
   278   0.478249E+04   0.553008E+01   0.272877E-01   0.102363E+03
   279   0.475274E+04   0.567332E+01   0.274526E-01   0.103426E+03
   280   0.472271E+04   0.581849E+01   0.276170E-01   0.104461E+03
   281   0.469239E+04   0.596559E+01   0.277808E-01   0.105467E+03
   282   0.466180E+04   0.611458E+01   0.279439E-01   0.106443E+03
   283   0.463096E+04   0.626543E+01   0.281065E-01   0.107389E+03
   284   0.459987E+04   0.641812E+01   0.282686E-01   0.108304E+03
   285   0.456853E+04   0.657260E+01   0.284299E-01   0.109188E+03
   286   0.453696E+04   0.672884E+01   0.285907E-01   0.110040E+03
   287   0.450518E+04   0.688679E+01   0.287509E-01   0.110861E+03
   288   0.447319E+04   0.704643E+01   0.289104E-01   0.111648E+03
   289   0.444100E+04   0.720772E+01   0.290693E-01   0.112404E+03
   290   0.440863E+04   0.737062E+01   0.292276E-01   0.113126E+03
   291   0.437608E+04   0.753510E+01   0.293852E-01   0.113814E+03
   292   0.434336E+04   0.770103E+01   0.295422E-01   0.114468E+03
   293   0.431048E+04   0.786849E+01   0.296985E-01   0.115089E+03
   294   0.427746E+04   0.803740E+01   0.298542E-01   0.115674E+03
   295   0.424429E+04   0.820761E+01   0.300091E-01   0.116224E+03
   296   0.421100E+04   0.837920E+01   0.301634E-01   0.116739E+03
   297   0.417757E+04   0.855202E+01   0.303171E-01   0.117217E+03
   298   0.414404E+04   0.872606E+01   0.304700E-01   0.117658E+03
   299   0.411041E+04   0.890126E+01   0.306223E-01   0.118064E+03
   300   0.407669E+04   0.907754E+01   0.307739E-01   0.118433E+03
   301   0.404289E+04   0.925497E+01   0.309248E-01   0.118765E+03
   302   0.400903E+04   0.943333E+01   0.310750E-01   0.119060E+03
   303   0.397511E+04   0.961270E+01   0.312245E-01   0.119318E+03
   304   0.394115E+04   0.979299E+01   0.313733E-01   0.119539E+03
   305   0.390717E+04   0.997415E+01   0.315214E-01   0.119723E+03
   306   0.387316E+04   0.101562E+02   0.316689E-01   0.119869E+03
   307   0.383915E+04   0.103389E+02   0.318156E-01   0.119977E+03
   308   0.380514E+04   0.105223E+02   0.319616E-01   0.120048E+03
   309   0.377115E+04   0.107064E+02   0.321069E-01   0.120082E+03
   310   0.373716E+04   0.108909E+02   0.322516E-01   0.120078E+03
   311   0.370322E+04   0.110760E+02   0.323955E-01   0.120034E+03
   312   0.366931E+04   0.112616E+02   0.325387E-01   0.119954E+03
   313   0.363546E+04   0.114475E+02   0.326812E-01   0.119835E+03
   314   0.360166E+04   0.116337E+02   0.328231E-01   0.119678E+03
   315   0.356794E+04   0.118201E+02   0.329642E-01   0.119482E+03
   316   0.353429E+04   0.120068E+02   0.331047E-01   0.119249E+03
   317   0.350074E+04   0.121935E+02   0.332445E-01   0.118978E+03
   318   0.346729E+04   0.123802E+02   0.333836E-01   0.118668E+03
   319   0.343396E+04   0.125670E+02   0.335220E-01   0.118321E+03
   320   0.340073E+04   0.127537E+02   0.336597E-01   0.117936E+03
   321   0.336765E+04   0.129402E+02   0.337968E-01   0.117513E+03
   322   0.333470E+04   0.131264E+02   0.339333E-01   0.117052E+03
   323   0.330191E+04   0.133124E+02   0.340690E-01   0.116554E+03
   324   0.326927E+04   0.134979E+02   0.342042E-01   0.116019E+03
   325   0.323680E+04   0.136831E+02   0.343387E-01   0.115447E+03
   326   0.320451E+04   0.138677E+02   0.344726E-01   0.114838E+03
   327   0.317240E+04   0.140518E+02   0.346058E-01   0.114192E+03
   328   0.314049E+04   0.142352E+02   0.347385E-01   0.113509E+03
   329   0.310878E+04   0.144178E+02   0.348705E-01   0.112790E+03
   330   0.307728E+04   0.145997E+02   0.350020E-01   0.112035E+03
   331   0.304601E+04   0.147807E+02   0.351329E-01   0.111245E+03
   332   0.301496E+04   0.149608E+02   0.352633E-01   0.110418E+03
   333   0.298415E+04   0.151398E+02   0.353931E-01   0.109557E+03
   334   0.295358E+04   0.153178E+02   0.355224E-01   0.108660E+03
   335   0.292327E+04   0.154945E+02   0.356511E-01   0.107729E+03
   336   0.289323E+04   0.156701E+02   0.357794E-01   0.106764E+03
   337   0.286345E+04   0.158444E+02   0.359071E-01   0.105766E+03
   338   0.283395E+04   0.160173E+02   0.360344E-01   0.104734E+03
   339   0.280474E+04   0.161888E+02   0.361613E-01   0.103670E+03
   340   0.277582E+04   0.163589E+02   0.362877E-01   0.102574E+03
   341   0.274720E+04   0.165273E+02   0.364137E-01   0.101446E+03
   342   0.271889E+04   0.166941E+02   0.365392E-01   0.100285E+03
   343   0.269088E+04   0.168592E+02   0.366644E-01   0.990942E+02
   344   0.266319E+04   0.170224E+02   0.367893E-01   0.978715E+02
   345   0.263582E+04   0.171838E+02   0.369138E-01   0.966182E+02
   346   0.260877E+04   0.173431E+02   0.370379E-01   0.953342E+02
   347   0.258205E+04   0.175004E+02   0.371618E-01   0.940203E+02
   348   0.255566E+04   0.176555E+02   0.372854E-01   0.926764E+02
   349   0.252962E+04   0.178086E+02   0.374087E-01   0.913048E+02
   350   0.250393E+04   0.179594E+02   0.375317E-01   0.899048E+02
   351   0.247860E+04   0.181079E+02   0.376546E-01   0.884778E+02
   352   0.245363E+04   0.182542E+02   0.377772E-01   0.870245E+02
   353   0.242904E+04   0.183981E+02   0.378997E-01   0.855451E+02
   354   0.240483E+04   0.185396E+02   0.380220E-01   0.840416E+02
