# HMCode_logT_AGN logA mnu nnu ns ombh2 omch2 tau theta_MC_100
1.358647913021863345e-03 2.385508852826536398e-05 8.179401075015880270e-05 5.317526737470926494e-04 5.612706641865989200e-05 2.789197246393081922e-07 8.246271242063217254e-06 1.209378083919648771e-05 -5.654171179572877990e-07
2.385508852826026484e-05 1.199042108717101175e-04 2.415934267343798094e-04 3.451171478555020212e-05 6.316215825106455840e-06 3.969523702339138249e-08 -2.105868121009086873e-06 6.301454987815952957e-05 7.264000290196296566e-09
8.179401075016678514e-05 2.415934267343842275e-04 7.559487467636518852e-04 1.104095519331060231e-04 7.798400251845104161e-06 8.578373821915491059e-08 1.030731109554262592e-06 1.210027422872348975e-04 -3.922617151312379819e-07
5.317526737470962273e-04 3.451171478555403749e-05 1.104095519331013068e-04 4.757299036034770209e-04 2.855017293998365262e-05 5.460789688666695984e-07 6.864681001281691509e-06 1.027364957259499070e-05 -8.017238109002358926e-07
5.612706641865890266e-05 6.316215825106784488e-06 7.798400251844560366e-06 2.855017293998275476e-05 4.070750523672122593e-06 1.226827082242189157e-08 9.369299432706112154e-08 3.808604351391227636e-06 -9.861739340503013352e-09
2.789197246393155508e-07 3.969523702339248760e-08 8.578373821914638732e-08 5.460789688666725630e-07 1.226827082242283952e-08 1.102930656494822443e-09 8.291610463880742300e-09 6.956639492109727545e-09 -7.277219313838223559e-10
8.246271242063796624e-06 -2.105868121008970830e-06 1.030731109554415481e-06 6.864681001282026934e-06 9.369299432710392317e-08 8.291610463880944132e-09 2.487753257860274807e-07 -1.366301084582589116e-06 -1.868669876934247672e-08
1.209378083919331473e-05 6.301454987815946181e-05 1.210027422872324580e-04 1.027364957259250889e-05 3.808604351391007830e-06 6.956639492108761398e-09 -1.366301084582653279e-06 3.379548176457361215e-05 2.586636344787411177e-08
-5.654171179573162805e-07 7.264000290189445029e-09 -3.922617151312358114e-07 -8.017238109002483863e-07 -9.861739340505597464e-09 -7.277219313838250442e-10 -1.868669876934216570e-08 2.586636344786988984e-08 8.470713613630239030e-09
