# logA mnu nnu ns ombh2 omch2 tau theta_MC_100
9.496445645199240828e-05 1.832639770239909507e-04 -3.946786109916988088e-06 1.256992512561395797e-06 7.688813132027414438e-09 -2.285516812748309110e-06 4.967325685575908463e-05 3.557425643157179037e-08
1.832639770239944473e-04 5.974597682876040547e-04 -1.523894779503911319e-05 -7.674790612905753526e-06 -4.005318692335900287e-09 -1.930354337247212210e-07 9.013050818203423352e-05 -3.050194333626389142e-07
-3.946786109918381457e-06 -1.523894779504507630e-05 2.031133064898691201e-04 7.480690349789208385e-06 2.916789264652559250e-07 2.574583105907035812e-06 -6.722647750220114653e-06 -2.412874097673351242e-07
1.256992512561313635e-06 -7.674790612906261746e-06 7.480690349789075401e-06 1.785183700420323189e-06 1.970284970934027900e-09 -2.117926049458544437e-07 1.218537889188974927e-06 1.883006769555258132e-08
7.688813132024183471e-09 -4.005318692346046485e-09 2.916789264652561897e-07 1.970284970934154873e-09 6.934599437820318296e-10 4.299810670254789981e-09 -4.580044765847400489e-09 -3.176239812937566267e-10
-2.285516812748274805e-06 -1.930354337245926308e-07 2.574583105907056140e-06 -2.117926049458490968e-07 4.299810670254767647e-09 1.714531464813388274e-07 -1.400704535315391900e-06 -1.111214852061201228e-08
4.967325685575909141e-05 9.013050818203240393e-05 -6.722647750219470061e-06 1.218537889189006267e-06 -4.580044765845772598e-09 -1.400704535315411170e-06 2.653718979374534276e-05 3.481249459987844066e-08
3.557425643157186316e-08 -3.050194333626348379e-07 -2.412874097673413181e-07 1.883006769555177069e-08 -3.176239812937623653e-10 -1.111214852061198746e-08 3.481249459987832155e-08 3.580853688649308972e-09
