# logA mnu nnu ns ombh2 omch2 tau theta_MC_100
1.123932072295184229e-04 3.439699425265114411e-04 -2.556587851732794933e-05 -5.825091888779155688e-06 -1.210639511252167935e-08 -5.898022850824667880e-07 5.560741535310265854e-05 -1.701394420706254758e-07
3.439699425264957744e-04 2.079395756699608730e-03 -2.145635201485960957e-04 -7.298312067988827184e-05 -1.864712848456863507e-07 1.544511142116955775e-05 1.448439574464500533e-04 -2.202180652984258610e-06
-2.556587851732867778e-05 -2.145635201486076696e-04 2.299337047865571951e-04 1.626437095825216888e-05 3.162443049791255917e-07 4.716053016809461182e-07 -1.408423488129228352e-05 1.382631852330304748e-08
-5.825091888778240892e-06 -7.298312067988626606e-05 1.626437095825145060e-05 4.663316894624634680e-06 1.001045821935838921e-08 -9.009771467452447154e-07 -1.192552273266514901e-06 1.024398633923146539e-07
-1.210639511252561508e-08 -1.864712848457094058e-07 3.162443049791286622e-07 1.001045821935949432e-08 7.159767403634399978e-10 2.375198596833577219e-09 -1.132210545654139402e-08 -8.416254409324487002e-11
-5.898022850827815667e-07 1.544511142116841257e-05 4.716053016811256362e-07 -9.009771467452185632e-07 2.375198596833757545e-09 3.364896361182609606e-07 -8.234321896938504354e-07 -3.113418799716770688e-08
5.560741535310318709e-05 1.448439574464597298e-04 -1.408423488129224795e-05 -1.192552273267007663e-06 -1.132210545653981410e-08 -8.234321896936950048e-07 2.855779705924913950e-05 -3.521732202843339425e-08
-1.701394420705976825e-07 -2.202180652984188307e-06 1.382631852328268891e-08 1.024398633923138334e-07 -8.416254409327114593e-11 -3.113418799716833554e-08 -3.521732202841862411e-08 6.009917455801386432e-09
