# logA mnu nnu ns ombh2 omch2 tau theta_MC_100
1.033505073375889368e-04 1.920107407557024640e-04 -1.571225371911464150e-05 9.480382994109563330e-07 1.348338185989801260e-08 -2.712145297206291204e-06 5.455075414078685767e-05 6.657083162971989822e-08
1.920107407557007835e-04 6.104971893401077128e-04 -4.623403414582093451e-05 -9.069539300239935626e-06 3.361327119863125188e-09 -7.428143480568837303e-07 9.554082756260944692e-05 -2.176473291779869727e-07
-1.571225371911548854e-05 -4.623403414581402272e-05 2.739666770161431784e-04 7.413813585406275654e-06 4.399356704630483187e-07 3.869172769371998185e-06 -1.511008577528623291e-05 -5.460639383314392264e-07
9.480382994111039285e-07 -9.069539300239266470e-06 7.413813585406888906e-06 1.859911206094442232e-06 1.298672141242825680e-09 -2.237627765222961834e-07 1.099420438949979248e-06 1.728873724904664121e-08
1.348338185989660308e-08 3.361327119873479008e-09 4.399356704630447188e-07 1.298672141241728839e-09 1.045265792799277743e-09 6.682158203058855854e-09 -6.226569687521678790e-09 -5.910234572279697008e-10
-2.712145297206341179e-06 -7.428143480569177175e-07 3.869172769371803368e-06 -2.237627765223080154e-07 6.682158203058598601e-09 2.067442926745981773e-07 -1.675470814311075704e-06 -1.524946107429558035e-08
5.455075414078697964e-05 9.554082756261043626e-05 -1.511008577528549599e-05 1.099420438949926521e-06 -6.226569687520548861e-09 -1.675470814311052199e-06 2.947125298092472483e-05 5.614315820877806317e-08
6.657083162973126699e-08 -2.176473291779787935e-07 -5.460639383314323443e-07 1.728873724904825256e-08 -5.910234572279644275e-10 -1.524946107429607004e-08 5.614315820878447547e-08 8.176482519181132070e-09
