# HMCode_logT_AGN logA mnu nnu ns ombh2 omch2 tau theta_MC_100
1.359396981097290126e-03 1.789542495555296238e-05 3.758321854753486917e-05 5.312849548258254248e-04 5.713305099638797658e-05 2.806489236211253155e-07 7.773257484914713537e-06 9.715431953822409225e-06 -5.092701414674889603e-07
1.789542495552635200e-05 1.684914814314259987e-04 6.023047712325183987e-04 3.858318705211344926e-05 -1.890529370049759764e-06 2.600431216504854801e-08 1.759634568741066678e-06 8.239195698514079470e-05 -4.522022183186572209e-07
3.758321854757640766e-05 6.023047712325946181e-04 3.433928481066474570e-03 1.406952000658854695e-04 -5.312958780675335741e-05 -1.576450654316978100e-08 2.973027659781419719e-05 2.648575271786543159e-04 -3.803726558083281221e-06
5.312849548258323637e-04 3.858318705214178082e-05 1.406952000658804279e-04 4.761266591650624327e-04 2.786133802942191066e-05 5.450192143907619216e-07 7.190571883987484557e-06 1.189472481978458729e-05 -8.405952901472407006e-07
5.713305099638292148e-05 -1.890529370051230425e-06 -5.312958780676451114e-05 2.786133802941766194e-05 5.456952899299973269e-06 1.457898350037134859e-08 -5.592589064335372921e-07 5.356736000209935671e-07 6.775300053726095265e-08
2.806489236211378621e-07 2.600431216507921325e-08 -1.576450654315814423e-08 5.450192143907686978e-07 1.457898350037566813e-08 1.106926259875490405e-09 7.205495186112330388e-09 1.492228684126752210e-09 -5.988353359835940287e-10
7.773257484917237695e-06 1.759634568742900928e-06 2.973027659781870340e-05 7.190571883989296360e-06 -5.592589064333544388e-07 7.205495186113876389e-09 5.563767588460300093e-07 1.752296428040662347e-07 -5.525399872042386115e-08
9.715431953805492282e-06 8.239195698513845012e-05 2.648575271786094841e-04 1.189472481976774150e-05 5.356736000215091984e-07 1.492228684109093765e-09 1.752296428031259487e-07 4.152364291513875155e-05 -1.573584429947160671e-07
-5.092701414676896013e-07 -4.522022183188405506e-07 -3.803726558083611988e-06 -8.405952901473683908e-07 6.775300053724088855e-08 -5.988353359836893612e-10 -5.525399872042085683e-08 -1.573584429948137935e-07 1.281811960940497187e-08
