# HMCode_logT_AGN logA mnu nnu ns ombh2 omch2 tau theta_MC_100
1.260513983106594177e-03 4.428376308614810581e-05 1.005280593758035060e-04 4.408182452173265808e-04 5.048499602120678885e-05 2.177971869443872492e-07 6.275656643842318640e-06 2.532904079572810099e-05 -3.268633883715053797e-07
4.428376308616735718e-05 1.145115106557419643e-04 2.388246371139597364e-04 4.663024784860714250e-05 6.984373159003541587e-06 3.166693726479642047e-08 -1.705984843090027769e-06 5.991961812702136973e-05 -1.586140077830556809e-08
1.005280593758426592e-04 2.388246371139655098e-04 7.529242618592479116e-04 1.285499334691197018e-04 8.801121931532896738e-06 6.494663342387256955e-08 1.318436543819331634e-06 1.193928140506959770e-04 -4.421848667704818440e-07
4.408182452173347123e-04 4.663024784859432181e-05 1.285499334690917293e-04 3.600993444347104716e-04 2.495412430524133413e-05 3.669287155685305406e-07 4.699663116941625892e-06 1.971629171370417271e-05 -4.057605658086940521e-07
5.048499602120701246e-05 6.984373159002281202e-06 8.801121931529747470e-06 2.495412430524091401e-05 3.719129552749365119e-06 1.027066921778936963e-08 3.022251070480937357e-08 4.203240171274249761e-06 -2.729957533773428560e-11
2.177971869444057781e-07 3.166693726478472083e-08 6.494663342385008348e-08 3.669287155685380050e-07 1.027066921779020509e-08 7.296072709520288070e-10 5.352880729286911139e-09 7.907194538105793857e-09 -3.985430010349467474e-10
6.275656643842118740e-06 -1.705984843090098497e-06 1.318436543819311728e-06 4.699663116941439545e-06 3.022251070480192895e-08 5.352880729286576958e-09 1.978996903470186310e-07 -1.092482918040368104e-06 -1.298349248217681976e-08
2.532904079573762842e-05 5.991961812702133584e-05 1.193928140506927515e-04 1.971629171371058645e-05 4.203240171274877413e-06 7.907194538111784299e-09 -1.092482918040335494e-06 3.190110363244183934e-05 7.512472145324360423e-09
-3.268633883715217909e-07 -1.586140077830710333e-08 -4.421848667704860792e-07 -4.057605658087012519e-07 -2.729957533934529739e-11 -3.985430010349408537e-10 -1.298349248217682803e-08 7.512472145323207333e-09 3.725313862935148724e-09
