# HMCode_logT_AGN logA mnu nnu ns ombh2 omch2 tau theta_MC_100
1.261187517975982404e-03 3.866530214771839494e-05 6.181577629693968466e-05 4.398911008799876116e-04 5.131761330473373015e-05 2.192387392551466804e-07 5.877879540475974899e-06 2.302932573767091571e-05 -2.798896540409204421e-07
3.866530214770322289e-05 1.618589235619518718e-04 5.652069040107131391e-04 5.453823723612018535e-05 -3.608979718703907484e-08 1.967980923395754119e-08 1.650452090163518410e-06 7.929370001690125779e-05 -4.122999200677166648e-07
6.181577629686673141e-05 5.652069040107833954e-04 3.002837396847090733e-03 1.830917177535163159e-04 -3.959458653892174846e-05 -1.763517610484348690e-08 2.445686304194766181e-05 2.529433190560460626e-04 -3.175154722843387718e-06
4.398911008799849011e-04 5.453823723613512701e-05 1.830917177535698213e-04 3.614387044291381807e-04 2.378079920049936137e-05 3.649581328971418353e-07 5.261103284358698934e-06 2.295100995855115254e-05 -4.720885352099525415e-07
5.131761330473444166e-05 -3.608979718893590587e-08 -3.959458653892746085e-05 2.378079920049947995e-05 4.760123872824280531e-06 1.204677048012658534e-08 -4.674897900588163186e-07 1.330585175787016348e-06 5.875954883534979493e-08
2.192387392551536949e-07 1.967980923396907870e-08 -1.763517610477726282e-08 3.649581328971480821e-07 1.204677048012594841e-08 7.326955965684126978e-10 4.504555331050015298e-09 3.000229303220354614e-09 -2.983696758952945667e-10
5.877879540475499714e-06 1.650452090165045187e-06 2.445686304195273723e-05 5.261103284358621007e-06 -4.674897900588272242e-07 4.504555331049397394e-09 4.358745895178984119e-07 2.808846130739176695e-07 -4.109206677629672571e-08
2.302932573766363462e-05 7.929370001689931978e-05 2.529433190560042666e-04 2.295100995854366477e-05 1.330585175787980483e-06 3.000229303215254632e-09 2.808846130731479812e-07 3.982885310425420992e-05 -1.546990500107833089e-07
-2.798896540408518324e-07 -4.122999200678581193e-07 -3.175154722843732460e-06 -4.720885352099203013e-07 5.875954883534748545e-08 -2.983696758952196552e-10 -4.109206677629405888e-08 -1.546990500108579272e-07 7.045389630077708669e-09
