# logA mnu nnu ns ombh2 omch2 tau theta_MC_100
1.226116843976307808e-04 3.812763961407854307e-04 -4.822791880760688603e-05 -7.794849785427823599e-06 -1.359908309283317307e-08 -7.217143355738481168e-07 6.103587241578220860e-05 -1.756995488913205611e-07
3.812763961408535186e-04 2.470426836261185692e-03 -3.656967140382618841e-04 -9.498862484733362993e-05 -2.626427064048008541e-07 1.881938594892313042e-05 1.592595283963697643e-04 -2.598938937281826403e-06
-4.822791880760711643e-05 -3.656967140382596073e-04 3.288712263748757702e-04 2.217040236143101773e-05 4.856890483440963792e-07 5.101231969762847396e-07 -2.605964268604007690e-05 -1.372762479258622146e-07
-7.794849785432128220e-06 -9.498862484734303538e-05 2.217040236143121086e-05 5.828952229697369683e-06 1.358489198983111390e-08 -1.127461573362344231e-06 -1.843908482830496427e-06 1.272982592175565935e-07
-1.359908309281912423e-08 -2.626427064047945014e-07 4.856890483440968027e-07 1.358489198983260117e-08 1.083433111929265861e-09 3.886264524022744395e-09 -1.534950647584970265e-08 -2.508870809549242537e-10
-7.217143355725003815e-07 1.881938594892735542e-05 5.101231969762312707e-07 -1.127461573362424699e-06 3.886264524023479759e-09 4.125217554248455785e-07 -1.005446053574313136e-06 -4.030168024843213273e-08
6.103587241577991822e-05 1.592595283963294591e-04 -2.605964268603986006e-05 -1.843908482828268307e-06 -1.534950647585775939e-08 -1.005446053574968105e-06 3.165497684946442174e-05 -2.540185046290169903e-08
-1.756995488914792739e-07 -2.598938937282202485e-06 -1.372762479258404299e-07 1.272982592175584464e-07 -2.508870809549551179e-10 -4.030168024842947252e-08 -2.540185046298343440e-08 1.122678696503139139e-08
